K,dataset,graphid,kmax,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
3,productivity (11),5,6,112,48,71.585,30.69666666666667,78.0,34.0,0.0,0.0,0.0,0.0,91.77565999999999,90.28429,91.77565999999999,90.28429,91.07101999999999,89.39923,0.09054622411727906
4,productivity (11),5,6,112,48,74.16333333333334,31.746666666666666,78.0,34.0,0.0,0.0,0.0,0.0,95.08115,93.37250999999998,95.08115,93.37250999999998,94.65953999999999,92.77342999999999,0.11923674106597901
5,productivity (11),5,6,112,48,75.96,32.25633333333334,78.0,34.0,0.0,0.0,0.0,0.0,97.38471,94.87151999999998,97.38471,94.87151999999998,97.16004,94.39893000000001,0.14843782901763916
1,productivity (11),6,7,112,48,64.3542857142857,27.971428571428575,78.0,34.0,0.0,0.0,0.0,0.0,82.50548,82.26884999999999,82.50548,82.26884999999999,81.86407,81.59926000000002,0.035125732421875
2,productivity (11),6,7,112,48,69.62142857142855,29.755714285714294,78.0,34.0,0.0,0.0,0.0,0.0,89.25823999999999,87.51672,89.25823999999999,87.51672,88.86394,87.04132,0.0657827353477478
3,productivity (11),6,7,112,48,73.0242857142857,31.401428571428575,78.0,34.0,0.0,0.0,0.0,0.0,93.62084999999998,92.35708999999999,93.62084999999998,92.35708999999999,93.38596,92.06648000000001,0.0993573784828186
4,productivity (11),6,7,112,48,75.54142857142857,32.44285714285714,78.0,34.0,0.0,0.0,0.0,0.0,96.84796999999999,95.42010000000002,96.84796999999999,95.42010000000002,96.73152,95.24811000000001,0.13300709009170533
5,productivity (11),6,7,112,48,77.24857142857144,33.09571428571429,78.0,34.0,0.0,0.0,0.0,0.0,99.03665000000001,97.34035999999996,99.03665000000001,97.34035999999996,99.00133,97.24267000000002,0.16073278188705445
1,productivity (11),7,8,112,48,66.29125,28.95875,78.0,34.0,0.0,0.0,0.0,0.0,84.98872999999999,85.17273999999998,84.98872999999999,85.17273999999998,84.57797000000001,84.76253000000001,0.03774306297302246
2,productivity (11),7,8,112,48,71.41,30.45875,78.0,34.0,0.0,0.0,0.0,0.0,91.55124999999997,89.58455999999998,91.55124999999997,89.58455999999998,91.31997,89.29251000000001,0.07281089305877686
3,productivity (11),7,8,112,48,74.65625,32.01625,78.0,34.0,0.0,0.0,0.0,0.0,95.71321000000002,94.16546,95.71321000000002,94.16546,95.595,94.00138000000003,0.10952123641967773
4,productivity (11),7,8,112,48,76.34375,32.65125,78.0,34.0,0.0,0.0,0.0,0.0,97.87654999999997,96.03313,97.87654999999997,96.03313,97.81791999999997,95.92000999999999,0.1436940336227417
5,productivity (11),7,8,112,48,77.67303571428572,33.42321428571429,78.0,34.0,0.0,0.0,0.0,0.0,99.58069000000002,98.30351,99.58069000000002,98.30351,99.56983,98.25475,0.17767667770385742
1,productivity (11),8,9,112,48,67.05111111111111,29.282222222222234,78.0,34.0,0.0,0.0,0.0,0.0,85.96295,86.12419999999999,85.96295,86.12419999999999,85.57884000000001,85.74016,0.038399028778076175
2,productivity (11),8,9,112,48,72.31222222222222,30.812222222222232,78.0,34.0,0.0,0.0,0.0,0.0,92.70794000000002,90.62411,92.70794000000002,90.62411,92.50829000000002,90.36255000000001,0.07600794076919555
3,productivity (11),8,9,112,48,75.36777777777777,32.36777777777778,78.0,34.0,0.0,0.0,0.0,0.0,96.62527000000001,95.19928999999996,96.62527000000001,95.19928999999996,96.53187999999999,95.06496999999999,0.11402497768402099
4,productivity (11),8,9,112,48,76.79888888888888,32.91,78.0,34.0,0.0,0.0,0.0,0.0,98.46006000000003,96.79404999999998,98.46006000000003,96.79404999999998,98.41692,96.70222999999999,0.15067686796188354
5,productivity (11),8,9,112,48,77.91,33.66222222222222,78.0,34.0,0.0,0.0,0.0,0.0,99.88468,99.00659999999999,99.88468,99.00659999999999,99.88122,98.9769,0.18335845708847046
1,productivity (11),9,10,112,48,68.702,29.997999999999998,78.0,34.0,0.0,0.0,0.0,0.0,88.07949,88.22940999999999,88.07949,88.22940999999999,87.86350999999999,88.01603999999998,0.04349228143692017
2,productivity (11),9,10,112,48,74.105,31.695,78.0,34.0,0.0,0.0,0.0,0.0,95.00642000000002,93.22057999999998,95.00642000000002,93.22057999999998,94.91663000000003,93.09982999999998,0.08504897832870484
3,productivity (11),9,10,112,48,76.824,32.971,78.0,34.0,0.0,0.0,0.0,0.0,98.49245,96.97353,98.49245,96.97353,98.46481,96.92109,0.12768952369689943
4,productivity (11),9,10,112,48,77.616,33.525000000000006,78.0,34.0,0.0,0.0,0.0,0.0,99.50770999999999,98.60302000000001,99.50770999999999,98.60302000000001,99.49888000000001,98.57744000000001,0.16878499031066896
5,productivity (11),9,10,112,48,77.977,33.635,78.0,34.0,0.0,0.0,0.0,0.0,99.97052,98.92662,99.97052,98.92662,99.96984,98.90598,0.2060937476158142
