K,dataset,graphid,kmax,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
2,studentportuguese (30),5,6,224,50,124.1516666666667,54.015,156.0,68.0,5.53,2.47,0.0,0.0,82.50973,82.43061,79.58442,79.43381000000001,81.46136000000001,81.44284999999999,0.12296164989471435
3,studentportuguese (30),5,6,224,50,131.555,56.23666666666666,156.0,68.0,5.53,2.47,0.0,0.0,87.42943000000002,85.8197,84.33014999999999,82.70099000000002,86.67732,85.03206999999999,0.18352680444717406
4,studentportuguese (30),5,6,224,50,136.45333333333332,58.08833333333334,156.0,68.0,5.53,2.47,0.0,0.0,90.68421000000001,88.64316000000002,87.47003,85.42401000000001,90.12705,88.01575000000001,0.23994251489639282
5,studentportuguese (30),5,6,224,50,139.87666666666667,59.67333333333333,156.0,68.0,5.53,2.47,0.0,0.0,92.959,91.05831,89.66456,87.75492999999999,92.53885000000002,90.56290000000001,0.29934126377105713
1,studentportuguese (30),6,7,224,50,112.54000000000003,49.46000000000001,156.0,68.0,4.21,1.79,0.0,0.0,74.14107000000001,74.69798,72.14099000000002,72.73530999999998,73.76956999999999,74.36882,0.07062355279922486
2,studentportuguese (30),6,7,224,50,127.53571428571429,55.60714285714286,156.0,68.0,4.21,1.79,0.0,0.0,84.02024000000003,83.98106000000001,81.75367000000001,81.77518,83.79102999999999,83.77479,0.13871508121490478
3,studentportuguese (30),6,7,224,50,134.47285714285715,57.751428571428576,156.0,68.0,4.21,1.79,0.0,0.0,88.59054,87.2183,86.20055000000002,84.92856,88.42702000000001,87.05403,0.20183394908905028
4,studentportuguese (30),6,7,224,50,139.02714285714282,59.13142857142858,156.0,68.0,4.21,1.79,0.0,0.0,91.5908,89.30496000000001,89.11998,86.95798,91.47056000000002,89.16974000000002,0.2751033425331116
5,studentportuguese (30),6,7,224,50,142.53571428571428,60.445714285714295,156.0,68.0,4.21,1.79,0.0,0.0,93.90256,91.28961000000001,91.36905999999999,88.89075000000001,93.81543000000002,91.18368999999998,0.34001251220703127
1,studentportuguese (30),7,8,224,50,116.495,51.13,156.0,68.0,1.33,0.67,0.0,0.0,75.31831,75.93900000000001,74.67627999999999,75.19118,74.97004,75.62923,0.07071058750152588
2,studentportuguese (30),7,8,224,50,134.50125,58.49875,156.0,68.0,1.33,0.67,0.0,0.0,86.95995,86.88256,86.21876,86.02757,86.77634,86.71614,0.13709413766860962
3,studentportuguese (30),7,8,224,50,142.385,62.0675,156.0,68.0,1.33,0.67,0.0,0.0,92.05697,92.1821,91.27243999999999,91.27576000000003,91.94543000000002,92.08320999999998,0.2061408853530884
4,studentportuguese (30),7,8,224,50,145.92,62.5275,156.0,68.0,1.33,0.67,0.0,0.0,94.34257,92.86623000000002,93.53841999999999,91.95219000000003,94.26313999999998,92.77738999999998,0.26841289281845093
5,studentportuguese (30),7,8,224,50,148.62,63.26375,156.0,68.0,1.33,0.67,0.0,0.0,96.08814999999998,93.95979000000001,95.2693,93.03492,96.03335000000001,93.8842,0.3292978715896606
1,studentportuguese (30),8,9,224,50,121.41555555555557,53.362222222222215,156.0,68.0,0.66,0.34,0.0,0.0,78.16118,78.86833,77.83051999999999,78.4739,78.05631999999999,78.78509,0.07072623252868653
2,studentportuguese (30),8,9,224,50,140.98666666666665,61.457777777777764,156.0,68.0,0.66,0.34,0.0,0.0,90.76048,90.83555000000003,90.37603000000003,90.37902,90.71595,90.79857000000001,0.1355787396430969
3,studentportuguese (30),8,9,224,50,147.40222222222224,64.04555555555557,156.0,68.0,0.66,0.34,0.0,0.0,94.89036999999999,94.66005000000003,94.48854,94.18458000000003,94.86584,94.63946000000001,0.1970097017288208
4,studentportuguese (30),8,9,224,50,150.40222222222224,64.59555555555556,156.0,68.0,0.66,0.34,0.0,0.0,96.82164999999999,95.47272,96.41169,94.99342,96.80651,95.45452999999998,0.26462784528732297
5,studentportuguese (30),8,9,224,50,152.57666666666668,65.30777777777777,156.0,68.0,0.66,0.34,0.0,0.0,98.22136000000002,96.52498,97.80553999999998,96.04077999999998,98.21289,96.51093999999999,0.32543262481689456
1,studentportuguese (30),9,10,224,50,124.34500000000001,54.75499999999999,156.0,68.0,0.0,0.0,0.0,0.0,79.70833999999999,80.52206,79.70833999999999,80.52206,79.61133,80.44564,0.07484361171722412
2,studentportuguese (30),9,10,224,50,144.556,63.044000000000004,156.0,68.0,0.0,0.0,0.0,0.0,92.66410000000002,92.71176000000001,92.66410000000002,92.71176000000001,92.62876,92.68195,0.1492486095428467
3,studentportuguese (30),9,10,224,50,150.24800000000002,65.186,156.0,68.0,0.0,0.0,0.0,0.0,96.31284,95.86177999999998,96.31284,95.86177999999998,96.29505,95.84361999999999,0.23366765975952147
4,studentportuguese (30),9,10,224,50,152.87400000000002,65.557,156.0,68.0,0.0,0.0,0.0,0.0,97.99617000000002,96.40738999999999,97.99617000000002,96.40738999999999,97.98637,96.39190999999997,0.2985494875907898
5,studentportuguese (30),9,10,224,50,154.45700000000002,66.11600000000001,156.0,68.0,0.0,0.0,0.0,0.0,99.01086,97.22939999999997,99.01086,97.22939999999997,99.00595999999997,97.21758,0.3767981433868408
