K,dataset,graphid,r,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
2,studentmath (30),5,6.5,206,39,95.31092102342102,40.03289987789988,144.0,62.0,15.32,6.68,22.95,10.05,90.14999,88.45846,66.18816,64.56921,89.59447999999999,87.80014999999999,0.0991479516029358
3,studentmath (30),5,6.5,206,39,99.17537728937731,41.40442185592185,144.0,62.0,15.32,6.68,22.95,10.05,93.80370999999997,91.47754000000003,68.87182,66.7813,93.45360000000001,90.9866,0.1447761368751526
4,studentmath (30),5,6.5,206,39,101.63133333333333,42.30611904761905,144.0,62.0,15.32,6.68,22.95,10.05,96.12509000000001,93.46183,70.57731,68.23566,95.90586000000002,93.09054000000002,0.19064111709594728
5,studentmath (30),5,6.5,206,39,103.38214285714287,43.251999999999995,144.0,62.0,15.32,6.68,22.95,10.05,97.78102999999997,95.55069999999999,71.79313,69.76129999999999,97.65496000000002,95.29038999999999,0.23439630270004272
1,studentmath (30),6,7.0,206,39,106.53586844710682,44.86091839816716,144.0,62.0,15.91,7.09,6.32,2.68,87.48965999999999,85.88870000000001,73.98319000000001,72.35632000000001,86.87167999999998,85.26472000000001,0.07083864688873291
2,studentmath (30),6,7.0,206,39,113.88839399489402,47.776717504717496,144.0,62.0,15.91,7.09,6.32,2.68,93.52726000000001,91.47509,79.08918999999999,77.05922,93.20763,91.09989999999999,0.13728061437606812
3,studentmath (30),6,7.0,206,39,116.86110461760461,49.49606368631369,144.0,62.0,15.91,7.09,6.32,2.68,95.96782000000003,94.76962999999999,81.15356,79.83234999999999,95.76811000000002,94.54365000000001,0.20227917194366454
4,studentmath (30),6,7.0,206,39,118.47375216450213,49.83070274170275,144.0,62.0,15.91,7.09,6.32,2.68,97.29228999999998,95.40942000000001,82.27344000000001,80.37207999999998,97.15849,95.21183,0.2656169033050537
5,studentmath (30),6,7.0,206,39,119.62357683982684,50.07785101010102,144.0,62.0,15.91,7.09,6.32,2.68,98.23667000000002,95.87507000000001,83.07200999999999,80.77072999999999,98.14975,95.69811000000001,0.32956911087036134
1,studentmath (30),7,7.5,206,39,120.04802317943495,51.4085982579512,144.0,62.0,8.44,3.56,2.14,0.86,89.97512,89.26242,83.36662999999999,82.91712999999999,89.86520000000002,89.16164000000002,0.09348183155059814
2,studentmath (30),7,7.5,206,39,126.81884781884781,53.85889937839937,144.0,62.0,8.44,3.56,2.14,0.86,95.05211,93.52424000000002,88.06866000000002,86.86916000000001,94.99792,93.46343999999999,0.18486835241317748
3,studentmath (30),7,7.5,206,39,129.86169841269842,55.35256349206349,144.0,62.0,8.44,3.56,2.14,0.86,97.33305000000001,96.13195,90.18171000000002,89.27834000000001,97.30403000000003,96.09692999999999,0.26997502565383913
4,studentmath (30),7,7.5,206,39,131.39681746031746,55.812944444444454,144.0,62.0,8.44,3.56,2.14,0.86,98.48396999999999,96.93267999999998,91.24778,90.02086000000001,98.46754999999999,96.90454,0.3563264775276184
5,studentmath (30),7,7.5,206,39,132.36331746031746,56.070706349206354,144.0,62.0,8.44,3.56,2.14,0.86,99.20855,97.38426999999997,91.91898,90.43662,99.20002999999997,97.36036,0.43551499128341675
1,studentmath (30),8,8.0,206,39,130.37352311038487,55.99140090079787,144.0,62.0,5.7,2.3,0.7,0.3,94.74843999999999,94.26243000000001,90.53718999999997,90.30875,94.74843999999999,94.26243000000001,0.11290621042251586
2,studentmath (30),8,8.0,206,39,134.0329410860897,57.287350950348234,144.0,62.0,5.7,2.3,0.7,0.3,97.40750999999999,96.44308,93.07840999999999,92.39893000000001,97.40750999999999,96.44308,0.21989410877227783
3,studentmath (30),8,8.0,206,39,135.92476676101677,57.8500955988456,144.0,62.0,5.7,2.3,0.7,0.3,98.78243,97.39056999999998,94.39220999999999,93.30661999999998,98.78243,97.39056999999998,0.3231386423110962
4,studentmath (30),8,8.0,206,39,136.97078282828284,58.166776695526686,144.0,62.0,5.7,2.3,0.7,0.3,99.54253,97.92504,95.11861999999999,93.81739999999998,99.54253,97.92504,0.4290846061706543
5,studentmath (30),8,8.0,206,39,137.51565656565654,58.419338924963924,144.0,62.0,5.7,2.3,0.7,0.3,99.93866,98.35211,95.49687999999998,94.22467,99.93866,98.35211,0.5259374094009399
1,studentmath (30),9,8.5,206,39,138.00342849960498,59.2124827663049,144.0,62.0,2.09,0.91,0.0,0.0,97.24700999999999,96.92557,95.83573,95.50394,97.23304999999999,96.90805999999999,0.11665619134902955
2,studentmath (30),9,8.5,206,39,140.16603956043954,59.870222588522594,144.0,62.0,2.09,0.91,0.0,0.0,98.77107999999998,98.00305000000002,97.33751999999998,96.56483,98.76475,97.99207999999999,0.22530733346939086
3,studentmath (30),9,8.5,206,39,141.45150732600732,60.358514652014655,144.0,62.0,2.09,0.91,0.0,0.0,99.67718,98.80171,98.23029000000001,97.35244,99.67545,98.79473000000002,0.3291568088531494
4,studentmath (30),9,8.5,206,39,141.91,60.494725274725276,144.0,62.0,2.09,0.91,0.0,0.0,100.0,99.02488,98.54876,97.57217,100.0,99.01891000000002,0.4408490538597107
