[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,42.397619047619045,set(),1,43.31428571428571,{32},{32},43.31428571428571,2
1,45.41666666666667,{42},0,42.397619047619045,set(),{42},45.41666666666667,2
0,42.397619047619045,set(),2,44.01428571428571,"{32, 7}","{32, 7}",44.01428571428571,2
1,45.41666666666667,{42},1,43.31428571428571,{32},"{32, 42}",45.41666666666667,2
2,46.0,"{42, 12}",0,42.397619047619045,set(),"{42, 12}",46.0,2
0,42.397619047619045,set(),3,44.59761904761904,"{32, 49, 7}","{32, 49, 7}",44.59761904761904,2
1,45.41666666666667,{42},2,44.01428571428571,"{32, 7}","{32, 42, 7}",45.91666666666667,2
2,46.0,"{42, 12}",1,43.31428571428571,{32},"{32, 42, 12}",46.0,2
3,46.5,"{42, 12, 14}",0,42.397619047619045,set(),"{42, 12, 14}",46.5,2
0,42.397619047619045,set(),4,45.09761904761905,"{32, 49, 46, 7}","{32, 49, 46, 7}",45.09761904761905,2
1,45.41666666666667,{42},3,44.59761904761904,"{32, 49, 7}","{32, 49, 42, 7}",46.5,2
2,46.0,"{42, 12}",2,44.01428571428571,"{32, 7}","{32, 42, 12, 7}",46.5,2
3,46.5,"{42, 12, 14}",1,43.31428571428571,{32},"{32, 42, 12, 14}",46.5,2
4,47.0,"{24, 42, 12, 14}",0,42.397619047619045,set(),"{24, 42, 12, 14}",47.0,2
0,42.397619047619045,set(),5,45.59761904761905,"{32, 3, 7, 46, 49}","{32, 49, 3, 7, 46}",45.59761904761905,2
1,45.41666666666667,{42},4,45.09761904761905,"{32, 49, 46, 7}","{32, 49, 7, 42, 46}",46.5,2
2,46.0,"{42, 12}",3,44.59761904761904,"{32, 49, 7}","{32, 49, 7, 42, 12}",46.5,2
3,46.5,"{42, 12, 14}",2,44.01428571428571,"{32, 7}","{32, 7, 42, 12, 14}",47.0,2
4,47.0,"{24, 42, 12, 14}",1,43.31428571428571,{32},"{32, 24, 42, 12, 14}",47.0,2
5,47.0,"{24, 42, 12, 14}",0,42.397619047619045,set(),"{24, 42, 12, 14}",47.0,2
0,54.91973304473304,set(),1,57.44184704184704,{32},{32},57.44184704184704,3
1,60.714285714285715,{42},0,54.91973304473304,set(),{42},60.714285714285715,3
0,54.91973304473304,set(),2,58.769227994228,"{32, 34}","{32, 34}",58.769227994228,3
1,60.714285714285715,{42},1,57.44184704184704,{32},"{32, 42}",61.530952380952385,3
2,62.78095238095238,"{42, 14}",0,54.91973304473304,set(),"{42, 14}",62.78095238095238,3
0,54.91973304473304,set(),3,60.352561327561325,"{32, 34, 46}","{32, 34, 46}",60.352561327561325,3
1,60.714285714285715,{42},2,58.769227994228,"{32, 34}","{32, 42, 34}",62.11428571428572,3
2,62.78095238095238,"{42, 14}",1,57.44184704184704,{32},"{32, 42, 14}",63.44761904761905,3
3,64.28095238095239,"{42, 44, 14}",0,54.91973304473304,set(),"{42, 44, 14}",64.28095238095239,3
0,54.91973304473304,set(),4,61.631349206349206,"{32, 34, 46, 7}","{32, 34, 46, 7}",61.631349206349206,3
1,60.714285714285715,{42},3,60.352561327561325,"{32, 34, 46}","{32, 42, 34, 46}",63.06666666666667,3
2,62.78095238095238,"{42, 14}",2,58.769227994228,"{32, 34}","{32, 42, 34, 14}",63.61428571428572,3
3,64.28095238095239,"{42, 44, 14}",1,57.44184704184704,{32},"{32, 42, 44, 14}",64.61428571428573,3
4,65.66666666666666,"{42, 44, 12, 14}",0,54.91973304473304,set(),"{42, 44, 12, 14}",65.66666666666666,3
0,54.91973304473304,set(),5,62.80277777777778,"{32, 34, 7, 46, 48}","{32, 48, 34, 7, 46}",62.80277777777778,3
1,60.714285714285715,{42},4,61.631349206349206,"{32, 34, 46, 7}","{32, 34, 7, 42, 46}",63.93333333333334,3
2,62.78095238095238,"{42, 14}",3,60.352561327561325,"{32, 34, 46}","{32, 34, 46, 42, 14}",64.56666666666666,3
3,64.28095238095239,"{42, 44, 14}",2,58.769227994228,"{32, 34}","{32, 34, 42, 44, 14}",64.61428571428573,3
4,65.66666666666666,"{42, 44, 12, 14}",1,57.44184704184704,{32},"{32, 42, 44, 12, 14}",66.0,3
5,66.5,"{42, 44, 12, 14, 24}",0,54.91973304473304,set(),"{24, 42, 44, 12, 14}",66.5,3
0,74.86406401812243,set(),1,78.03724192474192,{32},{32},78.03724192474192,4
1,90.50079365079364,{41},0,74.86406401812243,set(),{41},90.50079365079364,4
0,74.86406401812243,set(),2,80.72215676480383,"{32, 45}","{32, 45}",80.72215676480383,4
1,90.50079365079364,{41},1,78.03724192474192,{32},"{32, 41}",91.55862193362192,4
2,94.84761904761903,"{41, 44}",0,74.86406401812243,set(),"{41, 44}",94.84761904761903,4
0,74.86406401812243,set(),3,83.36011284467168,"{32, 37, 45}","{32, 37, 45}",83.36011284467168,4
1,90.50079365079364,{41},2,80.72215676480383,"{32, 45}","{32, 41, 45}",93.46428571428571,4
2,94.84761904761903,"{41, 44}",1,78.03724192474192,{32},"{32, 41, 44}",95.2582251082251,4
3,98.48571428571427,"{41, 42, 44}",0,74.86406401812243,set(),"{41, 42, 44}",98.48571428571427,4
0,74.86406401812243,set(),4,85.76615533589217,"{32, 48, 37, 45}","{32, 48, 37, 45}",85.76615533589217,4
1,90.50079365079364,{41},3,83.36011284467168,"{32, 37, 45}","{32, 41, 45, 37}",95.11428571428571,4
2,94.84761904761903,"{41, 44}",2,80.72215676480383,"{32, 45}","{32, 41, 44, 45}",96.68333333333334,4
3,98.48571428571427,"{41, 42, 44}",1,78.03724192474192,{32},"{32, 41, 42, 44}",98.6690476190476,4
