K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
1,116.66666666666673,{38},112.00000000000009,{6},116.66666666666673,{38},105.33333333333339,{7},176.0,"{0, 1, 2, 33, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28, 31}",176,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0416666666666665,0.6628787878787882,0.6363636363636368,1.1075949367088609,0.6628787878787882,0.5984848484848487,0.02215123176574707,0.0009229183197021484,3,206,39,studentmath (30),2
2,132.0,"{2, 38}",119.66666666666674,"{0, 6}",132.0,"{2, 38}",107.66666666666673,"{1, 7}",176.0,"{0, 1, 2, 33, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28, 31}",176,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.103064066852367,0.75,0.6799242424242429,1.2260061919504637,0.75,0.6117424242424246,0.0449526309967041,0.0005040168762207031,3,206,39,studentmath (30),2
3,141.66666666666669,"{2, 38, 6}",122.33333333333339,"{0, 27, 6}",141.66666666666669,"{2, 38, 6}",108.66666666666673,"{1, 18, 7}",176.0,"{0, 1, 2, 33, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28, 31}",176,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1580381471389642,0.8049242424242425,0.6950757575757579,1.3036809815950914,0.8049242424242425,0.6174242424242428,0.08737707138061523,0.0009610652923583984,3,206,39,studentmath (30),2
4,148.33333333333334,"{0, 2, 38, 6}",127.33333333333334,"{0, 27, 6, 7}",148.33333333333334,"{0, 2, 38, 6}",109.3333333333334,"{1, 18, 15, 7}",176.0,"{0, 1, 2, 33, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28, 31}",176,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1649214659685865,0.8428030303030304,0.7234848484848485,1.35670731707317,0.8428030303030304,0.6212121212121215,0.09557080268859863,0.0007312297821044922,3,206,39,studentmath (30),2
5,153.0,"{0, 2, 38, 6, 28}",130.66666666666666,"{0, 7, 6, 39, 27}",153.0,"{0, 2, 38, 6, 28}",110.66666666666674,"{1, 7, 14, 15, 18}",176.0,"{0, 1, 2, 33, 38, 6, 39, 9, 7, 18, 21, 24, 25, 27, 28, 31}",176,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1709183673469388,0.8693181818181818,0.7424242424242423,1.3825301204819267,0.8693181818181818,0.6287878787878792,0.1199798583984375,0.0009500980377197266,3,206,39,studentmath (30),2
1,125.0,{2},117.75,{6},125.0,{2},114.0,{7},192.0,"{0, 33, 2, 38, 6, 39, 9, 7, 13, 18, 21, 24, 25, 27, 28}",192,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0615711252653928,0.6510416666666666,0.61328125,1.0964912280701755,0.6510416666666666,0.59375,0.037248849868774414,0.0007171630859375,4,206,39,studentmath (30),3
2,144.0,"{2, 38}",130.25,"{0, 6}",144.0,"{2, 38}",117.0,"{1, 7}",192.0,"{0, 33, 2, 38, 6, 39, 9, 7, 13, 18, 21, 24, 25, 27, 28}",192,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1055662188099808,0.75,0.6783854166666666,1.2307692307692308,0.75,0.609375,0.05214405059814453,0.0005550384521484375,4,206,39,studentmath (30),3
3,154.75,"{0, 2, 38}",135.25,"{0, 27, 6}",154.75,"{0, 2, 38}",119.0,"{1, 18, 7}",192.0,"{0, 33, 2, 38, 6, 39, 9, 7, 13, 18, 21, 24, 25, 27, 28}",192,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.144177449168207,0.8059895833333334,0.7044270833333334,1.300420168067227,0.8059895833333334,0.6197916666666666,0.0983579158782959,0.0014071464538574219,4,206,39,studentmath (30),3
4,162.5,"{0, 2, 38, 6}",145.0,"{0, 27, 6, 7}",162.5,"{0, 2, 38, 6}",119.49999999999999,"{1, 18, 15, 7}",192.0,"{0, 33, 2, 38, 6, 39, 9, 7, 13, 18, 21, 24, 25, 27, 28}",192,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1206896551724137,0.8463541666666666,0.7552083333333334,1.3598326359832638,0.8463541666666666,0.6223958333333333,0.12189292907714844,0.001009225845336914,4,206,39,studentmath (30),3
5,170.0,"{0, 2, 38, 6, 28}",149.0,"{0, 7, 6, 39, 27}",170.0,"{0, 2, 38, 6, 28}",120.49999999999999,"{1, 7, 14, 15, 18}",192.0,"{0, 33, 2, 38, 6, 39, 9, 7, 13, 18, 21, 24, 25, 27, 28}",192,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1409395973154361,0.8854166666666666,0.7760416666666666,1.4107883817427387,0.8854166666666666,0.6276041666666666,0.12386298179626465,0.0010707378387451172,4,206,39,studentmath (30),3
