[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
2,97.79761904761904,"{0, 6}",3,82.89390886890887,"{8, 3, 37}","{0, 3, 37, 6, 8}",100.82976190476191,4
3,98.89761904761903,"{0, 27, 6}",2,77.42271617271615,"{8, 37}","{0, 37, 6, 8, 27}",99.33571428571427,4
4,104.1452380952381,"{0, 27, 6, 7}",1,76.79793262293259,{37},"{0, 37, 6, 7, 27}",104.31190476190477,4
5,106.06190476190476,"{0, 6, 39, 7, 27}",0,75.87098595848592,set(),"{0, 7, 6, 39, 27}",106.06190476190476,4
0,86.85692094283428,set(),1,88.86385553805465,{36},{36},88.86385553805465,5
1,119.31347402597405,{6},0,86.85692094283428,set(),{6},119.31347402597405,5
0,86.85692094283428,set(),2,90.94068137819318,"{8, 36}","{8, 36}",90.94068137819318,5
1,119.31347402597405,{6},1,88.86385553805465,{36},"{36, 6}",120.07417998668001,5
2,126.6974386724387,"{0, 6}",0,86.85692094283428,set(),"{0, 6}",126.6974386724387,5
0,86.85692094283428,set(),3,98.57037056940307,"{8, 3, 36}","{8, 3, 36}",98.57037056940307,5
1,119.31347402597405,{6},2,90.94068137819318,"{8, 36}","{8, 36, 6}",121.05094766344767,5
2,126.6974386724387,"{0, 6}",1,88.86385553805465,{36},"{0, 36, 6}",127.24450826950829,5
3,128.59743867243873,"{0, 27, 6}",0,86.85692094283428,set(),"{0, 27, 6}",128.59743867243873,5
0,86.85692094283428,set(),4,98.57037056940307,"{8, 3, 36, 15}","{8, 3, 36, 15}",98.57037056940307,5
1,119.31347402597405,{6},3,98.57037056940307,"{8, 3, 36}","{8, 3, 36, 6}",125.7627677877678,5
2,126.6974386724387,"{0, 6}",2,90.94068137819318,"{8, 36}","{0, 8, 36, 6}",127.87127594627596,5
3,128.59743867243873,"{0, 27, 6}",1,88.86385553805465,{36},"{0, 27, 36, 6}",129.1445082695083,5
4,135.25357142857146,"{0, 27, 6, 7}",0,86.85692094283428,set(),"{0, 27, 6, 7}",135.25357142857146,5
0,86.85692094283428,set(),5,99.10484486703525,"{3, 36, 8, 14, 15}","{3, 36, 8, 14, 15}",99.10484486703525,5
1,119.31347402597405,{6},4,98.57037056940307,"{8, 3, 36, 15}","{3, 36, 6, 8, 15}",125.7627677877678,5
2,126.6974386724387,"{0, 6}",3,98.57037056940307,"{8, 3, 36}","{0, 3, 36, 6, 8}",131.6678515928516,5
3,128.59743867243873,"{0, 27, 6}",2,90.94068137819318,"{8, 36}","{0, 36, 6, 8, 27}",129.77127594627598,5
4,135.25357142857146,"{0, 27, 6, 7}",1,88.86385553805465,{36},"{0, 36, 6, 7, 27}",135.60357142857143,5
5,136.58690476190478,"{0, 6, 39, 7, 27}",0,86.85692094283428,set(),"{0, 7, 6, 39, 27}",136.58690476190478,5
0,96.62018030290102,set(),1,98.6204474137644,{36},{36},98.6204474137644,6
1,144.19353587588884,{6},0,96.62018030290102,set(),{6},144.19353587588884,6
