[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
3,118.0,"{0, 24, 13}",0,110.0,set(),"{0, 24, 13}",118.0,1
0,110.0,set(),4,113.0,"{40, 1, 36, 4}","{40, 1, 36, 4}",113.0,1
1,112.0,{13},3,112.5,"{1, 36, 4}","{1, 4, 36, 13}",114.0,1
2,112.5,"{0, 13}",2,112.5,"{36, 4}","{0, 4, 36, 13}",114.5,1
3,118.0,"{0, 24, 13}",1,111.5,{36},"{0, 24, 36, 13}",119.0,1
4,118.0,"{0, 24, 13, 23}",0,110.0,set(),"{0, 24, 13, 23}",118.0,1
0,110.0,set(),5,113.5,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11}",113.5,1
1,112.0,{13},4,113.0,"{40, 1, 36, 4}","{1, 36, 4, 40, 13}",114.5,1
2,112.5,"{0, 13}",3,112.5,"{1, 36, 4}","{0, 1, 36, 4, 13}",114.5,1
3,118.0,"{0, 24, 13}",2,112.5,"{36, 4}","{0, 36, 4, 24, 13}",120.0,1
4,118.0,"{0, 24, 13, 23}",1,111.5,{36},"{0, 36, 23, 24, 13}",119.0,1
5,123.5,"{0, 42, 13, 23, 24}",0,110.0,set(),"{0, 23, 24, 42, 13}",123.5,1
0,115.00000000000001,set(),1,115.83333333333334,{36},{36},115.83333333333334,2
1,119.66666666666664,{13},0,115.00000000000001,set(),{13},119.66666666666664,2
0,115.00000000000001,set(),2,117.33333333333334,"{36, 4}","{36, 4}",117.33333333333334,2
1,119.66666666666664,{13},1,115.83333333333334,{36},"{36, 13}",120.16666666666664,2
2,120.66666666666664,"{0, 13}",0,115.00000000000001,set(),"{0, 13}",120.66666666666664,2
0,115.00000000000001,set(),3,118.00000000000003,"{1, 36, 4}","{1, 36, 4}",118.00000000000003,2
1,119.66666666666664,{13},2,117.33333333333334,"{36, 4}","{4, 36, 13}",121.49999999999999,2
2,120.66666666666664,"{0, 13}",1,115.83333333333334,{36},"{0, 36, 13}",121.16666666666664,2
3,130.00000000000003,"{0, 24, 13}",0,115.00000000000001,set(),"{0, 24, 13}",130.00000000000003,2
0,115.00000000000001,set(),4,118.33333333333334,"{40, 1, 36, 4}","{40, 1, 36, 4}",118.33333333333334,2
