[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
2,102.125,"{10, 27}",3,95.2738095238095,"{18, 44, 46}","{18, 10, 27, 44, 46}",105.63095238095237,7
3,107.0,"{26, 10, 27}",2,92.02380952380949,"{18, 46}","{18, 10, 26, 27, 46}",108.17857142857142,7
4,109.25,"{26, 9, 10, 27}",1,88.4821428571428,{18},"{18, 10, 9, 26, 27}",109.32142857142857,7
5,111.5,"{9, 10, 20, 26, 27}",0,84.25,set(),"{26, 20, 9, 10, 27}",111.5,7
0,85.33333333333326,set(),1,89.1666666666666,{18},{18},89.1666666666666,8
1,96.3333333333333,{27},0,85.33333333333326,set(),{27},96.3333333333333,8
0,85.33333333333326,set(),2,92.7857142857142,"{18, 46}","{18, 46}",92.7857142857142,8
1,96.3333333333333,{27},1,89.1666666666666,{18},"{18, 27}",100.02777777777776,8
2,103.33333333333327,"{26, 27}",0,85.33333333333326,set(),"{26, 27}",103.33333333333327,8
0,85.33333333333326,set(),3,95.96031746031741,"{18, 44, 46}","{18, 44, 46}",95.96031746031741,8
1,96.3333333333333,{27},2,92.7857142857142,"{18, 46}","{18, 27, 46}",103.53968253968252,8
2,103.33333333333327,"{26, 27}",1,89.1666666666666,{18},"{18, 26, 27}",105.91666666666664,8
3,108.2222222222222,"{10, 26, 27}",0,85.33333333333326,set(),"{10, 26, 27}",108.2222222222222,8
0,85.33333333333326,set(),4,99.24007936507934,"{18, 11, 44, 46}","{18, 11, 44, 46}",99.24007936507934,8
1,96.3333333333333,{27},3,95.96031746031741,"{18, 44, 46}","{18, 27, 44, 46}",104.3531746031746,8
2,103.33333333333327,"{26, 27}",2,92.7857142857142,"{18, 46}","{18, 26, 27, 46}",108.53571428571426,8
3,108.2222222222222,"{10, 26, 27}",1,89.1666666666666,{18},"{10, 18, 26, 27}",108.8611111111111,8
4,110.11111111111111,"{10, 26, 27, 20}",0,85.33333333333326,set(),"{10, 26, 27, 20}",110.11111111111111,8
0,85.33333333333326,set(),5,102.53571428571428,"{11, 44, 13, 46, 18}","{18, 11, 44, 13, 46}",102.53571428571428,8
1,96.3333333333333,{27},4,99.24007936507934,"{18, 11, 44, 46}","{18, 11, 27, 44, 46}",104.9781746031746,8
2,103.33333333333327,"{26, 27}",3,95.96031746031741,"{18, 44, 46}","{18, 26, 27, 44, 46}",109.2301587301587,8
3,108.2222222222222,"{10, 26, 27}",2,92.7857142857142,"{18, 46}","{18, 26, 10, 27, 46}",109.18253968253967,8
4,110.11111111111111,"{10, 26, 27, 20}",1,89.1666666666666,{18},"{18, 26, 20, 10, 27}",110.75,8
5,112.0,"{9, 10, 20, 26, 27}",0,85.33333333333326,set(),"{26, 20, 9, 10, 27}",112.0,8
0,85.6,set(),1,89.13333333333331,{18},{18},89.13333333333331,9
1,98.69999999999997,{27},0,85.6,set(),{27},98.69999999999997,9
0,85.6,set(),2,92.6027777777778,"{18, 46}","{18, 46}",92.6027777777778,9
1,98.69999999999997,{27},1,89.13333333333331,{18},"{18, 27}",102.09999999999998,9
2,106.0,"{1, 27}",0,85.6,set(),"{1, 27}",106.0,9
0,85.6,set(),3,95.78769841269836,"{18, 44, 46}","{18, 44, 46}",95.78769841269836,9
1,98.69999999999997,{27},2,92.6027777777778,"{18, 46}","{18, 27, 46}",105.47222222222223,9
2,106.0,"{1, 27}",1,89.13333333333331,{18},"{1, 18, 27}",107.16666666666666,9
3,109.5,"{16, 1, 27}",0,85.6,set(),"{16, 1, 27}",109.5,9
0,85.6,set(),4,99.3571428571428,"{18, 11, 44, 46}","{18, 11, 44, 46}",99.3571428571428,9
1,98.69999999999997,{27},3,95.78769841269836,"{18, 44, 46}","{18, 27, 44, 46}",105.74603174603175,9
2,106.0,"{1, 27}",2,92.6027777777778,"{18, 46}","{1, 18, 27, 46}",108.63333333333333,9
3,109.5,"{16, 1, 27}",1,89.13333333333331,{18},"{16, 1, 18, 27}",110.08888888888887,9
4,111.3,"{16, 1, 27, 35}",0,85.6,set(),"{16, 1, 27, 35}",111.3,9
0,85.6,set(),5,103.11309523809524,"{11, 44, 13, 46, 18}","{18, 11, 44, 13, 46}",103.11309523809524,9
1,98.69999999999997,{27},4,99.3571428571428,"{18, 11, 44, 46}","{18, 11, 27, 44, 46}",105.74603174603175,9
2,106.0,"{1, 27}",3,95.78769841269836,"{18, 44, 46}","{1, 18, 27, 44, 46}",108.90714285714286,9
3,109.5,"{16, 1, 27}",2,92.6027777777778,"{18, 46}","{16, 1, 18, 27, 46}",111.01388888888889,9
4,111.3,"{16, 1, 27, 35}",1,89.13333333333331,{18},"{16, 1, 18, 35, 27}",111.3,9
5,111.8,"{1, 35, 14, 16, 27}",0,85.6,set(),"{16, 1, 35, 27, 14}",111.8,9
