K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
3,196.08333333333334,"{42, 44, 47}",186.63084554334554,"{0, 44, 12}",196.08333333333334,"{42, 44, 47}",112.34495497768353,"{40, 1, 7}",201.0,"{6, 39, 42, 44, 47, 16, 24, 28}",201,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.050648046749552,0.9755389718076286,0.9285116693698783,1.7453683912400322,0.9755389718076286,0.5589301242670822,0.3577849864959717,0.0031719207763671875,7.5,224,50,studentportuguese (30),7
4,197.53333333333333,"{16, 42, 44, 47}",187.27528998779,"{0, 19, 44, 12}",197.53333333333333,"{16, 42, 44, 47}",173.83099671432046,"{40, 1, 47, 7}",201.0,"{6, 39, 42, 44, 47, 16, 24, 28}",201,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0547752100461953,0.9827529021558872,0.9317178606357711,1.1363527625511236,0.9827529021558872,0.8648308294244799,0.49029994010925293,0.0031931400299072266,7.5,224,50,studentportuguese (30),7
5,198.78333333333333,"{16, 39, 42, 44, 47}",187.57638888888886,"{0, 19, 36, 44, 12}",198.78333333333333,"{39, 42, 44, 47, 16}",174.27204134220725,"{1, 7, 40, 47, 17}",201.0,"{6, 39, 42, 44, 47, 16, 24, 28}",201,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0597460293954317,0.988971807628524,0.93321586511885,1.1406495947505129,0.988971807628524,0.8670250813045136,0.6187229156494141,0.002538919448852539,7.5,224,50,studentportuguese (30),7
1,201.12025987858036,{42},197.29323944573946,{44},201.12025987858036,{42},108.56396000706421,{40},214.0,"{42, 44, 12, 47, 18, 24, 26}",214,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0193976258060957,0.939814298498039,0.9219310254473807,1.8525508821297008,0.939814298498039,0.5073082243320758,0.15787601470947266,0.0021131038665771484,8.0,224,50,studentportuguese (30),8
2,207.78626373626375,"{42, 44}",203.7529304029304,"{44, 12}",207.78626373626375,"{42, 44}",111.63044849562566,"{40, 7}",214.0,"{42, 44, 12, 47, 18, 24, 26}",214,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0197952163208512,0.9709638492348773,0.9521164972099551,1.8613762332452337,0.9709638492348773,0.5216376097926433,0.3063318729400635,0.003365039825439453,8.0,224,50,studentportuguese (30),8
3,210.10769230769233,"{24, 42, 44}",204.83626373626373,"{0, 44, 12}",210.10769230769233,"{24, 42, 44}",112.72403066986043,"{40, 1, 7}",214.0,"{42, 44, 12, 47, 18, 24, 26}",214,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0257348404783238,0.9818116462976277,0.9571788025059053,1.8639121672560086,0.9818116462976277,0.5267478068685066,0.4941229820251465,0.003874063491821289,8.0,224,50,studentportuguese (30),8
4,211.80769230769232,"{24, 42, 44, 12}",205.43626373626375,"{0, 19, 44, 12}",211.80769230769232,"{24, 42, 44, 12}",195.48163801884388,"{40, 1, 47, 7}",214.0,"{42, 44, 12, 47, 18, 24, 26}",214,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0310141376967803,0.9897555715312726,0.9599825408236624,1.0835170732878485,0.9897555715312726,0.9134655982188966,0.5618922710418701,0.0026628971099853516,8.0,224,50,studentportuguese (30),8
5,212.64102564102566,"{18, 24, 42, 44, 12}",206.2695970695971,"{0, 18, 19, 44, 12}",212.64102564102566,"{42, 44, 12, 18, 24}",195.83506493506493,"{1, 7, 40, 47, 17}",214.0,"{42, 44, 12, 47, 18, 24, 26}",214,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0308888399548228,0.9936496525281573,0.9638766218205472,1.0858169128778508,0.9936496525281573,0.9151171258647894,0.6959538459777832,0.004230022430419922,8.0,224,50,studentportuguese (30),8
1,212.33983588874892,{42},210.77248976513684,{44},212.33983588874892,{42},108.14169387967847,{40},220.0,"{39, 42, 44, 13, 28}",220,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0074361987437668,0.965181072221586,0.9580567716597129,1.9635334741936286,0.965181072221586,0.4915531539985385,0.15145611763000488,0.0023069381713867188,8.5,224,50,studentportuguese (30),9
2,216.64285714285714,"{42, 44}",214.1063186813187,"{44, 12}",216.64285714285714,"{42, 44}",111.07955887236527,"{40, 7}",220.0,"{39, 42, 44, 13, 28}",220,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0118470976343015,0.9847402597402597,0.9732105394605395,1.9503395524984772,0.9847402597402597,0.5049070857834785,0.29750990867614746,0.002743959426879883,8.5,224,50,studentportuguese (30),9
3,218.04285714285714,"{42, 44, 39}",214.7063186813187,"{0, 44, 12}",218.04285714285714,"{42, 44, 39}",112.37542163077582,"{40, 1, 7}",220.0,"{39, 42, 44, 13, 28}",220,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0155400105689985,0.9911038961038962,0.9759378121878123,1.9403073552797474,0.9911038961038962,0.510797371048981,0.44930100440979004,0.004271745681762695,8.5,224,50,studentportuguese (30),9
4,219.14285714285714,"{42, 44, 28, 39}",215.3063186813187,"{0, 19, 44, 12}",219.14285714285714,"{42, 44, 28, 39}",207.82223626047158,"{40, 1, 47, 7}",220.0,"{39, 42, 44, 13, 28}",220,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0178189775619964,0.996103896103896,0.978665084915085,1.0544726160495983,0.996103896103896,0.9446465284566891,0.6194570064544678,0.003283977508544922,8.5,224,50,studentportuguese (30),9
5,220.0,"{28, 39, 42, 44, 13}",215.3063186813187,"{0, 19, 36, 44, 12}",220.0,"{39, 42, 44, 13, 28}",208.10394174665916,"{1, 7, 40, 47, 17}",220.0,"{39, 42, 44, 13, 28}",220,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0218000165876626,1.0,0.978665084915085,1.0571640217551612,1.0,0.9459270079393598,0.8229560852050781,0.0040400028228759766,8.5,224,50,studentportuguese (30),9
1,220.10950854700855,{44},220.10950854700855,{44},220.10950854700855,{44},106.27602442039041,{40},222.0,"{42, 44, 14}",222,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.9914842727342728,0.9914842727342728,2.071111614754548,0.9914842727342728,0.47872083072247934,0.20745301246643066,0.0049669742584228516,9.0,224,50,studentportuguese (30),10
2,221.5,"{42, 44}",220.77777777777777,"{44, 12}",221.5,"{42, 44}",108.88194925749374,"{40, 7}",222.0,"{42, 44, 14}",222,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0032712632108707,0.9977477477477478,0.9944944944944945,2.034313322919826,0.9977477477477478,0.49045923088961146,0.417341947555542,0.003895998001098633,9.0,224,50,studentportuguese (30),10
3,222.0,"{42, 44, 14}",220.77777777777777,"{44, 12, 36}",222.0,"{42, 44, 14}",110.39661543701482,"{40, 1, 7}",222.0,"{42, 44, 14}",222,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0055359838953195,1.0,0.9944944944944945,2.010931214885468,1.0,0.49728205151808474,0.544795036315918,0.004809141159057617,9.0,224,50,studentportuguese (30),10
4,222.0,"{42, 44, 14}",220.77777777777777,"{4, 44, 12, 36}",222.0,"{42, 44, 14}",219.82301228183582,"{40, 1, 47, 7}",222.0,"{42, 44, 14}",222,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0055359838953195,1.0,0.9944944944944945,1.0099033658740562,1.0,0.9901937490172784,0.909430742263794,0.003313302993774414,9.0,224,50,studentportuguese (30),10
5,222.0,"{42, 44, 14}",221.27777777777777,"{0, 18, 19, 44, 12}",222.0,"{42, 44, 14}",219.9210164835165,"{1, 7, 40, 47, 17}",222.0,"{42, 44, 14}",222,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0032638714536781,1.0,0.9967467467467467,1.0094533189675363,1.0,0.9906352093852094,0.9003090858459473,0.0036988258361816406,9.0,224,50,studentportuguese (30),10
1,222.76724137931035,{44},222.76724137931035,{44},222.76724137931035,{44},104.16004223175798,{40},224.0,"{0, 44, 13}",224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.9944966133004927,0.9944966133004927,2.138701527056308,0.9944966133004927,0.4650001885346339,0.27497076988220215,0.003537893295288086,9.5,224,50,studentportuguese (30),11
2,223.51724137931035,"{44, 13}",223.25,"{44, 12}",223.51724137931035,"{44, 13}",106.52273650324447,"{40, 7}",224.0,"{0, 44, 13}",224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.001197049851334,0.997844827586207,0.9966517857142857,2.098305476526154,0.997844827586207,0.4755479308180557,0.6206231117248535,0.0058019161224365234,9.5,224,50,studentportuguese (30),11
3,224.0,"{0, 44, 13}",223.25,"{44, 12, 36}",224.0,"{0, 44, 13}",108.33414392715994,"{40, 1, 7}",224.0,"{0, 44, 13}",224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0033594624860023,1.0,0.9966517857142857,2.0676768364977316,1.0,0.4836345711033926,0.712151050567627,0.003432035446166992,9.5,224,50,studentportuguese (30),11
4,224.0,"{0, 44, 13}",223.33333333333334,"{4, 44, 12, 36}",224.0,"{0, 44, 13}",222.15,"{40, 1, 47, 7}",224.0,"{0, 44, 13}",224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0029850746268656,1.0,0.9970238095238095,1.008327706504614,1.0,0.9917410714285715,0.8547568321228027,0.005670070648193359,9.5,224,50,studentportuguese (30),11
5,224.0,"{0, 44, 13}",223.33333333333334,"{1, 36, 4, 44, 12}",224.0,"{0, 44, 13}",222.18157894736845,"{1, 7, 40, 47, 17}",224.0,"{0, 44, 13}",224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0029850746268656,1.0,0.9970238095238095,1.0081843916189934,1.0,0.9918820488721806,0.9312808513641357,0.0029740333557128906,9.5,224,50,studentportuguese (30),11
1,224.0,{44},224.0,{44},224.0,{44},101.80476461493258,{40},224.0,{44},224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,2.2002899456352556,1.0,0.4544855563166633,0.2213749885559082,0.006206989288330078,10.0,224,50,studentportuguese (30),12
2,224.0,{44},224.0,"{44, 36}",224.0,{44},104.03765004612704,"{40, 7}",224.0,{44},224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,2.1530667013401916,1.0,0.4644537948487814,0.6438298225402832,0.003885984420776367,10.0,224,50,studentportuguese (30),12
3,224.0,{44},224.0,"{44, 4, 36}",224.0,{44},106.05214044190716,"{40, 1, 7}",224.0,{44},224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,2.112168590531201,1.0,0.4734470555442284,0.4266979694366455,0.0063250064849853516,10.0,224,50,studentportuguese (30),12
4,224.0,{44},224.0,"{1, 44, 4, 36}",224.0,{44},222.53333333333333,"{40, 1, 47, 7}",224.0,{44},224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0065907729179149,1.0,0.993452380952381,0.5088038444519043,0.004248142242431641,10.0,224,50,studentportuguese (30),12
5,224.0,{44},224.0,"{1, 36, 4, 40, 44}",224.0,{44},222.55555555555557,"{1, 7, 40, 47, 17}",224.0,{44},224,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0064902646030953,1.0,0.9935515873015873,0.539435863494873,0.0041391849517822266,10.0,224,50,studentportuguese (30),12
