K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
2,"{2, 38}",155.4000000000001,"{1, 7}",127.39999999999996,"{2, 38}",155.4000000000001,"{0, 6}",141.20000000000002,155.4000000000001,"{2, 38}",1.0,0.8198198198198191,1.0,0.9086229086229082,0.5337440967559814,5,206,39,studentmath (30),4
3,"{0, 2, 38}",168.00000000000009,"{1, 18, 7}",130.59999999999997,"{0, 2, 38}",168.00000000000009,"{0, 27, 6}",146.40000000000003,168.00000000000009,"{0, 2, 38}",1.0,0.7773809523809517,1.0,0.8714285714285712,6.22304368019104,5,206,39,studentmath (30),4
4,"{0, 2, 28, 38}",175.80000000000007,"{1, 18, 15, 7}",131.14999999999995,"{0, 2, 28, 38}",175.80000000000007,"{0, 27, 6, 7}",159.80000000000004,175.80000000000007,"{0, 2, 28, 38}",1.0,0.7460182025028436,1.0,0.9089874857792946,65.22116303443909,5,206,39,studentmath (30),4
5,"{0, 2, 38, 6, 28}",181.60000000000005,"{1, 7, 14, 15, 18}",131.54999999999995,"{0, 2, 38, 6, 28}",181.60000000000005,"{0, 7, 6, 39, 27}",164.4,181.60000000000005,"{0, 2, 38, 6, 28}",1.0,0.7243942731277528,1.0,0.9052863436123346,468.8981759548187,5,206,39,studentmath (30),4
1,{2},138.16666666666663,{7},123.50000000000004,{2},138.16666666666663,{6},127.00000000000004,138.16666666666663,{2},1.0,0.8938480096501815,1.0,0.9191797346200247,0.030089855194091797,6,206,39,studentmath (30),5
2,"{2, 38}",164.33333333333331,"{1, 7}",128.5,"{2, 38}",164.33333333333331,"{0, 6}",144.3333333333333,164.33333333333331,"{2, 38}",1.0,0.7819472616632861,1.0,0.8782961460446246,0.5798461437225342,6,206,39,studentmath (30),5
3,"{0, 2, 38}",175.66666666666666,"{1, 18, 7}",132.66666666666669,"{0, 2, 38}",175.66666666666666,"{0, 27, 6}",148.83333333333326,175.66666666666666,"{0, 2, 38}",1.0,0.7552182163187857,1.0,0.8472485768500945,7.241495847702026,6,206,39,studentmath (30),5
4,"{0, 2, 28, 38}",183.66666666666663,"{1, 18, 15, 7}",133.36666666666665,"{0, 2, 28, 38}",183.66666666666663,"{0, 27, 6, 7}",162.99999999999991,183.66666666666663,"{0, 2, 28, 38}",1.0,0.7261343012704174,1.0,0.8874773139745914,63.7226402759552,6,206,39,studentmath (30),5
5,"{0, 2, 38, 6, 28}",189.3333333333333,"{1, 7, 14, 15, 18}",133.7166666666667,"{0, 2, 38, 6, 28}",189.3333333333333,"{0, 7, 6, 39, 27}",168.16666666666663,189.3333333333333,"{0, 2, 38, 6, 28}",1.0,0.7062500000000004,1.0,0.8882042253521127,511.5698103904724,6,206,39,studentmath (30),5
1,{2},144.4285714285715,{7},130.2857142857143,{2},144.4285714285715,{6},137.7142857142858,144.4285714285715,{2},1.0,0.9020771513353113,1.0,0.9535113748763602,0.03036332130432129,7,206,39,studentmath (30),6
