b,F(S*),S*,BFtime,graphidx
0,10.5,set(),0.0007517337799072266,0
1,11.0,{0},0.003287076950073242,0
2,11.0,{0},0.017619848251342773,0
3,11.0,{0},0.047473907470703125,0
4,11.0,{0},0.08820796012878418,0
5,11.0,{0},0.12427401542663574,0
0,16.666666666666664,set(),0.001628875732421875,1
1,18.0,{38},0.006111860275268555,1
2,19.0,"{0, 38}",0.043495893478393555,1
3,19.0,"{0, 38}",0.22570300102233887,1
4,19.0,"{0, 38}",0.7944531440734863,1
5,19.0,"{0, 38}",2.375422954559326,1
0,34.65,set(),0.0012989044189453125,2
1,38.43333333333333,{38},0.008790016174316406,2
2,40.166666666666664,"{0, 38}",0.09864687919616699,2
3,41.166666666666664,"{0, 28, 38}",0.7751381397247314,2
4,41.666666666666664,"{0, 10, 3, 38}",4.473814010620117,2
5,42.0,"{0, 2, 3, 38, 10}",19.827572107315063,2
0,53.19119769119769,set(),0.0012519359588623047,3
1,66.71666666666667,{38},0.015877723693847656,3
2,69.0,"{2, 38}",0.24848103523254395,3
3,71.21666666666667,"{17, 10, 38}",2.5167112350463867,3
4,72.63333333333333,"{17, 2, 10, 38}",18.6733660697937,3
5,73.46666666666667,"{2, 38, 7, 10, 17}",106.16126203536987,3
0,75.87098595848592,set(),0.0010619163513183594,4
1,98.16825396825398,{38},0.022139787673950195,4
2,106.6702380952381,"{2, 38}",0.4075131416320801,4
3,109.76190476190477,"{38, 2, 6}",5.216433763504028,4
4,112.5,"{38, 25, 2, 6}",47.64011192321777,4
5,115.16666666666666,"{2, 38, 6, 39, 25}",337.6794250011444,4
0,86.85692094283428,set(),0.0025038719177246094,5
1,125.04367299367298,{38},0.035079002380371094,5
2,135.79871794871795,"{2, 38}",0.6242380142211914,5
3,141.09999999999997,"{0, 2, 38}",7.7708141803741455,5
4,144.51666666666665,"{0, 2, 28, 38}",74.9342200756073,5
5,147.16666666666663,"{0, 2, 38, 27, 28}",542.395989894867,5
0,96.62018030290102,set(),0.0038297176361083984,6
1,151.4931748806749,{38},0.0399479866027832,6
2,162.1340548340549,"{0, 2}",0.8238339424133301,6
3,167.2069264069264,"{0, 2, 38}",10.696721076965332,6
4,169.0857142857143,"{0, 38, 2, 6}",105.3899781703949,6
5,170.36904761904762,"{0, 2, 38, 24, 25}",738.0087699890137,6
0,97.95856435731915,set(),0.004357814788818359,7
1,171.6685892538833,{2},0.06255197525024414,7
2,181.20476190476188,"{2, 38}",1.2904949188232422,7
3,185.5984126984127,"{9, 2, 38}",15.137423038482666,7
4,187.7,"{0, 9, 2, 28}",142.86282801628113,7
5,189.33333333333331,"{0, 6, 9, 25, 28}",1008.3286762237549,7
0,97.44815332564832,set(),0.003952980041503906,8
1,186.4421409278641,{2},0.07494878768920898,8
2,191.67117604617604,"{2, 28}",1.4326467514038086,8
3,194.14141414141415,"{24, 2, 28}",17.93161702156067,8
4,195.8080808080808,"{24, 9, 2, 28}",174.02639293670654,8
5,197.0,"{2, 6, 9, 24, 28}",1224.5976362228394,8
0,98.39984018958461,set(),0.004888057708740234,9
1,197.35777777777776,{2},0.08422183990478516,9
2,200.98846153846154,"{24, 38}",1.7352068424224854,9
3,202.2,"{24, 2, 28}",21.448569774627686,9
4,203.0,"{24, 2, 28, 7}",231.05827498435974,9
5,203.0,"{24, 2, 28, 7}",1464.5105068683624,9
0,96.0839533827435,set(),0.006523847579956055,10
1,201.56729055258467,{2},0.09539008140563965,10
2,203.52941176470588,"{24, 28}",1.750138282775879,10
3,204.0,"{0, 24, 7}",23.010199785232544,10
4,204.0,"{0, 24, 7}",237.69512486457825,10
5,204.0,"{0, 24, 7}",1612.5374178886414,10
0,93.60485813707538,set(),0.005699872970581055,11
1,203.59561128526644,{2},0.09952306747436523,11
2,205.0,"{0, 24}",1.9415850639343262,11
3,205.0,"{0, 24}",25.92947816848755,11
4,205.0,"{0, 24}",258.38653802871704,11
5,205.0,"{0, 24}",1761.4316618442535,11
0,91.68676837959552,set(),0.007349967956542969,12
1,205.0,{2},0.1120610237121582,12
2,205.0,{2},2.1173980236053467,12
3,205.0,{2},28.837346076965332,12
4,205.0,{2},276.8786587715149,12
5,205.0,{2},2059.969876050949,12
