K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,r,n,m,dataset,graphid
5,{26},107.0,"{1, 7, 40, 47, 17}",106.5,{26},107.0,"{1, 34, 7, 9, 29}",107.0,107.0,{26},1.0,0.9953271028037384,1.0,1.0,3784.292914867401,6.0,112,50,productivity (11),4
1,{1},107.0,{40},106.73684210526316,{1},107.0,{9},107.0,107.0,{1},1.0,0.9975405804230202,1.0,1.0,0.09433388710021973,6.5,112,50,productivity (11),5
2,{1},107.0,"{40, 7}",106.73684210526316,{1},107.0,"{9, 29}",107.0,107.0,{1},1.0,0.9975405804230202,1.0,1.0,2.2824878692626953,6.5,112,50,productivity (11),5
3,{1},107.0,"{40, 1, 7}",107.0,{1},107.0,"{9, 29, 7}",107.0,107.0,{1},1.0,1.0,1.0,1.0,35.05508089065552,6.5,112,50,productivity (11),5
4,{1},107.0,"{40, 1, 47, 7}",107.0,{1},107.0,"{9, 34, 29, 7}",107.0,107.0,{1},1.0,1.0,1.0,1.0,430.9912078380585,6.5,112,50,productivity (11),5
5,{1},107.0,"{1, 7, 40, 47, 17}",107.0,{1},107.0,"{34, 7, 9, 44, 29}",107.0,107.0,{1},1.0,1.0,1.0,1.0,3896.324348926544,6.5,112,50,productivity (11),5
1,{1},107.0,{40},107.0,{1},107.0,{9},107.0,107.0,{1},1.0,1.0,1.0,1.0,0.08152389526367188,7.0,112,50,productivity (11),6
2,{1},107.0,"{40, 7}",107.0,{1},107.0,"{9, 29}",107.0,107.0,{1},1.0,1.0,1.0,1.0,2.119706869125366,7.0,112,50,productivity (11),6
3,{1},107.0,"{40, 1, 7}",107.0,{1},107.0,"{9, 29, 7}",107.0,107.0,{1},1.0,1.0,1.0,1.0,35.46175694465637,7.0,112,50,productivity (11),6
4,{1},107.0,"{40, 1, 47, 7}",107.0,{1},107.0,"{9, 34, 29, 7}",107.0,107.0,{1},1.0,1.0,1.0,1.0,436.2545349597931,7.0,112,50,productivity (11),6
5,{1},107.0,"{1, 7, 40, 47, 17}",107.0,{1},107.0,"{34, 7, 9, 44, 29}",107.0,107.0,{1},1.0,1.0,1.0,1.0,3914.0877389907837,7.0,112,50,productivity (11),6
1,{0},107.0,{40},107.0,{0},107.0,{9},107.0,107.0,{0},1.0,1.0,1.0,1.0,0.08362126350402832,7.5,112,50,productivity (11),7
2,{0},107.0,"{40, 7}",107.0,{0},107.0,"{9, 29}",107.0,107.0,{0},1.0,1.0,1.0,1.0,2.061772108078003,7.5,112,50,productivity (11),7
3,{0},107.0,"{40, 1, 7}",107.0,{0},107.0,"{9, 29, 7}",107.0,107.0,{0},1.0,1.0,1.0,1.0,34.58235692977905,7.5,112,50,productivity (11),7
4,{0},107.0,"{40, 1, 47, 7}",107.0,{0},107.0,"{9, 34, 29, 7}",107.0,107.0,{0},1.0,1.0,1.0,1.0,424.86579394340515,7.5,112,50,productivity (11),7
5,{0},107.0,"{1, 7, 40, 47, 17}",107.0,{0},107.0,"{34, 7, 9, 44, 29}",107.0,107.0,{0},1.0,1.0,1.0,1.0,3925.0124459266663,7.5,112,50,productivity (11),7
1,{0},107.0,{40},107.0,{0},107.0,{9},107.0,107.0,{0},1.0,1.0,1.0,1.0,0.08820033073425293,8.0,112,50,productivity (11),8
2,{0},107.0,"{40, 7}",107.0,{0},107.0,"{9, 29}",107.0,107.0,{0},1.0,1.0,1.0,1.0,2.088502883911133,8.0,112,50,productivity (11),8
3,{0},107.0,"{40, 1, 7}",107.0,{0},107.0,"{9, 29, 7}",107.0,107.0,{0},1.0,1.0,1.0,1.0,34.69239091873169,8.0,112,50,productivity (11),8
4,{0},107.0,"{40, 1, 47, 7}",107.0,{0},107.0,"{9, 34, 29, 7}",107.0,107.0,{0},1.0,1.0,1.0,1.0,425.1224100589752,8.0,112,50,productivity (11),8
5,{0},107.0,"{1, 7, 40, 47, 17}",107.0,{0},107.0,"{34, 7, 9, 44, 29}",107.0,107.0,{0},1.0,1.0,1.0,1.0,3907.3607947826385,8.0,112,50,productivity (11),8
1,{6},108.0,{40},107.625,{6},108.0,{9},107.625,108.0,{6},1.0,0.9965277777777778,1.0,0.9965277777777778,0.0850670337677002,8.5,112,50,productivity (11),9
2,{6},108.0,"{40, 7}",107.625,{6},108.0,"{9, 29}",107.625,108.0,{6},1.0,0.9965277777777778,1.0,0.9965277777777778,2.070330858230591,8.5,112,50,productivity (11),9
3,{6},108.0,"{40, 1, 7}",107.625,{6},108.0,"{9, 29, 7}",107.625,108.0,{6},1.0,0.9965277777777778,1.0,0.9965277777777778,34.75684714317322,8.5,112,50,productivity (11),9
4,{6},108.0,"{40, 1, 47, 7}",107.625,{6},108.0,"{9, 34, 29, 7}",107.71428571428572,108.0,{6},1.0,0.9965277777777778,1.0,0.9973544973544974,428.95513677597046,8.5,112,50,productivity (11),9
5,{6},108.0,"{1, 7, 40, 47, 17}",107.625,{6},108.0,"{34, 7, 9, 44, 29}",107.71428571428572,108.0,{6},1.0,0.9965277777777778,1.0,0.9973544973544974,4986.492939949036,8.5,112,50,productivity (11),9
1,{1},108.0,{40},108.0,{1},108.0,{9},107.78125,108.0,{1},1.0,1.0,1.0,0.9979745370370371,0.1122598648071289,9.0,112,50,productivity (11),10
2,{1},108.0,"{40, 7}",108.0,{1},108.0,"{9, 1}",108.0,108.0,{1},1.0,1.0,1.0,1.0,3.321984052658081,9.0,112,50,productivity (11),10
3,{1},108.0,"{40, 1, 7}",108.0,{1},108.0,"{9, 29, 1}",108.0,108.0,{1},1.0,1.0,1.0,1.0,43.09649300575256,9.0,112,50,productivity (11),10
4,{1},108.0,"{40, 1, 47, 7}",108.0,{1},108.0,"{9, 29, 1, 7}",108.0,108.0,{1},1.0,1.0,1.0,1.0,637.686399936676,9.0,112,50,productivity (11),10
