K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
1,105.025,{6},94.45161840676067,{9},105.025,{6},100.21379576759588,{40},106.0,"{16, 1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.111944948870061,0.9908018867924528,0.8910530038373649,1.048009400258241,0.9908018867924528,0.9454131676188291,0.10822296142578125,0.0013098716735839844,5.0,112,50,productivity (11),2
2,105.625,"{16, 6}",96.88093251168166,"{9, 1}",105.625,"{16, 6}",100.56651579490047,"{40, 7}",106.0,"{16, 1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.090255814654385,0.9964622641509434,0.9139710614309591,1.0502998852562022,0.9964622641509434,0.9487407150462308,0.18616771697998047,0.002331256866455078,5.0,112,50,productivity (11),2
3,106.0,"{16, 1, 6}",99.3688356926883,"{9, 1, 22}",106.0,"{16, 1, 6}",101.88780139270305,"{40, 1, 7}",106.0,"{16, 1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0667328369210192,1.0,0.9374418461574368,1.0403600681444427,1.0,0.9612056735160666,0.31096911430358887,0.0020470619201660156,5.0,112,50,productivity (11),2
4,106.0,"{16, 1, 6}",105.4,"{9, 20, 1, 22}",106.0,"{16, 1, 6}",104.61532091097308,"{40, 1, 47, 7}",106.0,"{16, 1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0056925996204933,1.0,0.9943396226415094,1.0132359111167404,1.0,0.9869369897261612,0.41149377822875977,0.0023741722106933594,5.0,112,50,productivity (11),2
5,106.0,"{16, 1, 6}",105.5,"{1, 20, 22, 9, 29}",106.0,"{16, 1, 6}",104.61532091097308,"{1, 7, 40, 47, 17}",106.0,"{16, 1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.004739336492891,1.0,0.9952830188679245,1.0132359111167404,1.0,0.9869369897261612,0.5690841674804688,0.0012118816375732422,5.0,112,50,productivity (11),2
1,105.71428571428572,{6},99.84999017102933,{9},105.71428571428572,{6},105.22104247104248,{40},106.0,"{1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0587310577919102,0.9973045822102427,0.9419810393493333,1.0046876863378253,0.9973045822102427,0.9926513440664385,0.17999505996704102,0.0034677982330322266,5.5,112,50,productivity (11),3
2,106.0,"{1, 6}",105.18983957219251,"{9, 1}",106.0,"{1, 6}",105.26129426129427,"{40, 7}",106.0,"{1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.007701888614931,1.0,0.9923569770961558,1.007017828764978,1.0,0.9930310779367384,0.35358214378356934,0.002524852752685547,5.5,112,50,productivity (11),3
3,106.0,"{1, 6}",106.0,"{9, 1, 22}",106.0,"{1, 6}",106.0,"{40, 1, 7}",106.0,"{1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.39863109588623047,0.0030257701873779297,5.5,112,50,productivity (11),3
4,106.0,"{1, 6}",106.0,"{9, 29, 1, 22}",106.0,"{1, 6}",106.0,"{40, 1, 47, 7}",106.0,"{1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.4186532497406006,0.0028438568115234375,5.5,112,50,productivity (11),3
5,106.0,"{1, 6}",106.0,"{1, 22, 7, 9, 29}",106.0,"{1, 6}",106.0,"{1, 7, 40, 47, 17}",106.0,"{1, 6}",106,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.455186128616333,0.002544879913330078,5.5,112,50,productivity (11),3
