[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,121.16666666666667,set(),2,133.43333333333334,"{37, 45}","{37, 45}",133.43333333333334,5
1,156.3333333333334,{42},1,127.79999999999998,{45},"{42, 45}",159.83333333333337,5
2,178.16666666666669,"{42, 44}",0,121.16666666666667,set(),"{42, 44}",178.16666666666669,5
0,121.16666666666667,set(),3,139.53333333333333,"{37, 45, 46}","{37, 45, 46}",139.53333333333333,5
1,156.3333333333334,{42},2,133.43333333333334,"{37, 45}","{42, 45, 37}",163.0166666666667,5
2,178.16666666666669,"{42, 44}",1,127.79999999999998,{45},"{42, 44, 45}",179.6,5
3,188.16666666666669,"{41, 42, 44}",0,121.16666666666667,set(),"{41, 42, 44}",188.16666666666669,5
0,121.16666666666667,set(),4,144.43333333333337,"{32, 37, 45, 46}","{32, 37, 45, 46}",144.43333333333337,5
1,156.3333333333334,{42},3,139.53333333333333,"{37, 45, 46}","{42, 45, 37, 46}",166.08333333333334,5
2,178.16666666666669,"{42, 44}",2,133.43333333333334,"{37, 45}","{42, 45, 44, 37}",180.96666666666667,5
3,188.16666666666669,"{41, 42, 44}",1,127.79999999999998,{45},"{41, 42, 44, 45}",189.49999999999997,5
4,195.3333333333334,"{41, 42, 44, 28}",0,121.16666666666667,set(),"{41, 42, 44, 28}",195.3333333333334,5
0,121.16666666666667,set(),5,149.63333333333333,"{32, 37, 45, 46, 48}","{32, 48, 37, 45, 46}",149.63333333333333,5
1,156.3333333333334,{42},4,144.43333333333337,"{32, 37, 45, 46}","{32, 37, 42, 45, 46}",168.2166666666667,5
2,178.16666666666669,"{42, 44}",3,139.53333333333333,"{37, 45, 46}","{37, 42, 44, 45, 46}",182.5666666666667,5
3,188.16666666666669,"{41, 42, 44}",2,133.43333333333334,"{37, 45}","{37, 41, 42, 44, 45}",190.28333333333333,5
4,195.3333333333334,"{41, 42, 44, 28}",1,127.79999999999998,{45},"{45, 41, 42, 44, 28}",196.1,5
5,200.50000000000006,"{41, 42, 44, 47, 28}",0,121.16666666666667,set(),"{41, 42, 44, 28, 47}",200.50000000000006,5
0,121.0,set(),1,126.66666666666663,{45},{45},126.66666666666663,6
1,161.99999999999983,{42},0,121.0,set(),{42},161.99999999999983,6
0,121.0,set(),2,132.29523809523803,"{45, 46}","{45, 46}",132.29523809523803,6
1,161.99999999999983,{42},1,126.66666666666663,{45},"{42, 45}",164.7857142857142,6
2,183.14285714285705,"{42, 44}",0,121.0,set(),"{42, 44}",183.14285714285705,6
0,121.0,set(),3,138.22619047619045,"{37, 45, 46}","{37, 45, 46}",138.22619047619045,6
1,161.99999999999983,{42},2,132.29523809523803,"{45, 46}","{42, 45, 46}",167.59523809523807,6
2,183.14285714285705,"{42, 44}",1,126.66666666666663,{45},"{42, 44, 45}",184.3571428571428,6
3,192.71428571428567,"{42, 44, 28}",0,121.0,set(),"{42, 44, 28}",192.71428571428567,6
0,121.0,set(),4,144.06904761904767,"{32, 37, 45, 46}","{32, 37, 45, 46}",144.06904761904767,6
1,161.99999999999983,{42},3,138.22619047619045,"{37, 45, 46}","{42, 45, 37, 46}",170.34285714285713,6
2,183.14285714285705,"{42, 44}",2,132.29523809523803,"{45, 46}","{42, 44, 45, 46}",185.59047619047618,6
3,192.71428571428567,"{42, 44, 28}",1,126.66666666666663,{45},"{42, 45, 44, 28}",193.5,6
4,198.8571428571428,"{41, 42, 44, 28}",0,121.0,set(),"{41, 42, 44, 28}",198.8571428571428,6
0,121.0,set(),5,148.55238095238101,"{32, 37, 45, 46, 48}","{32, 48, 37, 45, 46}",148.55238095238101,6
1,161.99999999999983,{42},4,144.06904761904767,"{32, 37, 45, 46}","{32, 37, 42, 45, 46}",172.64285714285717,6
2,183.14285714285705,"{42, 44}",3,138.22619047619045,"{37, 45, 46}","{37, 42, 44, 45, 46}",186.6761904761905,6
3,192.71428571428567,"{42, 44, 28}",2,132.29523809523803,"{45, 46}","{45, 42, 44, 28, 46}",194.32380952380953,6
4,198.8571428571428,"{41, 42, 44, 28}",1,126.66666666666663,{45},"{45, 41, 42, 44, 28}",199.57142857142856,6
5,203.99999999999994,"{41, 42, 44, 47, 28}",0,121.0,set(),"{41, 42, 44, 28, 47}",203.99999999999994,6
0,121.75,set(),1,127.30357142857143,{45},{45},127.30357142857143,7
1,167.625,{42},0,121.75,set(),{42},167.625,7
0,121.75,set(),2,133.01785714285705,"{32, 45}","{32, 45}",133.01785714285705,7
1,167.625,{42},1,127.30357142857143,{45},"{42, 45}",170.24999999999994,7
2,193.0,"{42, 44}",0,121.75,set(),"{42, 44}",193.0,7
0,121.75,set(),3,138.39523809523803,"{32, 37, 45}","{32, 37, 45}",138.39523809523803,7
1,167.625,{42},2,133.01785714285705,"{32, 45}","{32, 42, 45}",172.67857142857147,7
2,193.0,"{42, 44}",1,127.30357142857143,{45},"{42, 44, 45}",194.03571428571428,7
3,204.5,"{42, 44, 28}",0,121.75,set(),"{42, 44, 28}",204.5,7
0,121.75,set(),4,144.50833333333333,"{32, 37, 45, 46}","{32, 37, 45, 46}",144.50833333333333,7
1,167.625,{42},3,138.39523809523803,"{32, 37, 45}","{32, 42, 45, 37}",174.73690476190475,7
2,193.0,"{42, 44}",2,133.01785714285705,"{32, 45}","{32, 42, 44, 45}",194.73809523809527,7
3,204.5,"{42, 44, 28}",1,127.30357142857143,{45},"{42, 45, 44, 28}",205.03571428571428,7
4,209.0,"{41, 42, 44, 28}",0,121.75,set(),"{41, 42, 44, 28}",209.0,7
0,121.75,set(),5,149.54404761904757,"{32, 34, 37, 45, 46}","{32, 34, 37, 45, 46}",149.54404761904757,7
1,167.625,{42},4,144.50833333333333,"{32, 37, 45, 46}","{32, 37, 42, 45, 46}",177.5797619047619,7
2,193.0,"{42, 44}",3,138.39523809523803,"{32, 37, 45}","{32, 37, 42, 44, 45}",195.39047619047622,7
3,204.5,"{42, 44, 28}",2,133.01785714285705,"{32, 45}","{32, 45, 42, 44, 28}",205.37500000000003,7
4,209.0,"{41, 42, 44, 28}",1,127.30357142857143,{45},"{45, 41, 42, 44, 28}",209.42857142857142,7
5,212.625,"{41, 42, 44, 24, 28}",0,121.75,set(),"{24, 41, 42, 44, 28}",212.625,7
0,123.33333333333336,set(),1,128.81944444444446,{45},{45},128.81944444444446,8
1,174.77777777777789,{42},0,123.33333333333336,set(),{42},174.77777777777789,8
0,123.33333333333336,set(),2,134.64880952380955,"{32, 45}","{32, 45}",134.64880952380955,8
1,174.77777777777789,{42},1,128.81944444444446,{45},"{42, 45}",177.37500000000003,8
2,202.44444444444449,"{42, 44}",0,123.33333333333336,set(),"{42, 44}",202.44444444444449,8
0,123.33333333333336,set(),3,140.09126984126985,"{32, 37, 45}","{32, 37, 45}",140.09126984126985,8
1,174.77777777777789,{42},2,134.64880952380955,"{32, 45}","{32, 42, 45}",179.53769841269846,8
2,202.44444444444449,"{42, 44}",1,128.81944444444446,{45},"{42, 44, 45}",203.05555555555554,8
3,211.6666666666667,"{42, 44, 28}",0,123.33333333333336,set(),"{42, 44, 28}",211.6666666666667,8
0,123.33333333333336,set(),4,145.99285714285713,"{32, 37, 45, 46}","{32, 37, 45, 46}",145.99285714285713,8
1,174.77777777777789,{42},3,140.09126984126985,"{32, 37, 45}","{32, 42, 45, 37}",181.59325396825398,8
2,202.44444444444449,"{42, 44}",2,134.64880952380955,"{32, 45}","{32, 42, 44, 45}",203.7380952380952,8
3,211.6666666666667,"{42, 44, 28}",1,128.81944444444446,{45},"{42, 45, 44, 28}",211.94444444444446,8
4,215.5555555555556,"{41, 42, 44, 28}",0,123.33333333333336,set(),"{41, 42, 44, 28}",215.5555555555556,8
0,123.33333333333336,set(),5,150.98055555555553,"{32, 37, 45, 46, 48}","{32, 48, 37, 45, 46}",150.98055555555553,8
1,174.77777777777789,{42},4,145.99285714285713,"{32, 37, 45, 46}","{32, 37, 42, 45, 46}",184.2710317460317,8
2,202.44444444444449,"{42, 44}",3,140.09126984126985,"{32, 37, 45}","{32, 37, 42, 44, 45}",204.03571428571425,8
3,211.6666666666667,"{42, 44, 28}",2,134.64880952380955,"{32, 45}","{32, 45, 42, 44, 28}",212.26388888888886,8
4,215.5555555555556,"{41, 42, 44, 28}",1,128.81944444444446,{45},"{45, 41, 42, 44, 28}",215.7638888888889,8
5,218.55555555555557,"{6, 41, 42, 44, 28}",0,123.33333333333336,set(),"{6, 41, 42, 44, 28}",218.55555555555557,8
0,124.79999999999995,set(),1,130.1888888888888,{32},{32},130.1888888888888,9
1,179.09999999999997,{42},0,124.79999999999995,set(),{42},179.09999999999997,9
0,124.79999999999995,set(),2,135.93333333333322,"{32, 45}","{32, 45}",135.93333333333322,9
1,179.09999999999997,{42},1,130.1888888888888,{32},"{32, 42}",180.87777777777774,9
2,207.6,"{42, 44}",0,124.79999999999995,set(),"{42, 44}",207.6,9
0,124.79999999999995,set(),3,141.7773809523809,"{32, 37, 45}","{32, 37, 45}",141.7773809523809,9
1,179.09999999999997,{42},2,135.93333333333322,"{32, 45}","{32, 42, 45}",183.4805555555555,9
2,207.6,"{42, 44}",1,130.1888888888888,{32},"{32, 42, 44}",208.13333333333333,9
3,215.7,"{42, 44, 28}",0,124.79999999999995,set(),"{42, 44, 28}",215.7,9
0,124.79999999999995,set(),4,147.16071428571425,"{32, 37, 45, 46}","{32, 37, 45, 46}",147.16071428571425,9
1,179.09999999999997,{42},3,141.7773809523809,"{32, 37, 45}","{32, 42, 45, 37}",185.71785714285716,9
2,207.6,"{42, 44}",2,135.93333333333322,"{32, 45}","{32, 42, 44, 45}",208.73611111111111,9
3,215.7,"{42, 44, 28}",1,130.1888888888888,{32},"{32, 42, 44, 28}",215.92222222222222,9
4,218.79999999999998,"{42, 44, 28, 14}",0,124.79999999999995,set(),"{42, 44, 28, 14}",218.79999999999998,9
0,124.79999999999995,set(),5,152.3083333333333,"{32, 37, 45, 46, 48}","{32, 48, 37, 45, 46}",152.3083333333333,9
1,179.09999999999997,{42},4,147.16071428571425,"{32, 37, 45, 46}","{32, 37, 42, 45, 46}",187.83373015873013,9
2,207.6,"{42, 44}",3,141.7773809523809,"{32, 37, 45}","{32, 37, 42, 44, 45}",209.07738095238093,9
3,215.7,"{42, 44, 28}",2,135.93333333333322,"{32, 45}","{32, 45, 42, 44, 28}",216.15833333333333,9
4,218.79999999999998,"{42, 44, 28, 14}",1,130.1888888888888,{32},"{32, 42, 44, 28, 14}",218.92222222222222,9
5,221.0,"{39, 42, 44, 14, 28}",0,124.79999999999995,set(),"{39, 42, 44, 28, 14}",221.0,9
