b,F(S*),S*,BFtime,graphidx
0,77.0,set(),0.0005600452423095703,0
1,77.0,set(),0.009695053100585938,0
2,77.0,set(),0.13719677925109863,0
3,77.0,set(),1.4029500484466553,0
4,77.0,set(),9.622657060623169,0
5,77.0,set(),54.050179958343506,0
0,81.5,set(),0.00044608116149902344,1
1,86.5,{18},0.010040760040283203,1
2,91.5,"{18, 34}",0.23961114883422852,1
3,94.0,"{18, 34, 13}",3.3739681243896484,1
4,95.5,"{18, 34, 4, 13}",36.60293674468994,1
5,97.0,"{34, 4, 13, 46, 18}",297.4441840648651,1
0,85.33333333333336,set(),0.001825094223022461,2
1,90.66666666666669,{18},0.012028932571411133,2
2,95.83333333333334,"{18, 34}",0.2724428176879883,2
3,99.83333333333334,"{18, 34, 46}",4.102173089981079,2
4,102.66666666666667,"{18, 28, 34, 46}",45.40070295333862,2
5,104.50000000000001,"{34, 11, 46, 18, 28}",374.63072896003723,2
0,82.5,set(),0.0024700164794921875,3
1,88.25,{16},0.013555049896240234,3
2,93.5,"{16, 35}",0.3273160457611084,3
3,98.0,"{16, 35, 27}",5.130112886428833,3
4,101.25,"{16, 35, 27, 44}",67.61858034133911,3
5,104.25,"{35, 44, 16, 24, 27}",512.9802539348602,3
0,82.1999999999999,set(),0.0020439624786376953,4
1,89.19999999999996,{27},0.024151086807250977,4
2,95.59999999999997,"{10, 27}",0.45279383659362793,4
3,100.39999999999996,"{16, 10, 27}",7.253983974456787,4
4,103.79999999999998,"{16, 38, 10, 30}",86.4528419971466,4
5,106.79999999999998,"{1, 38, 10, 16, 30}",751.3171799182892,4
0,82.16666666666669,set(),0.002117156982421875,5
1,89.99999999999999,{27},0.0212249755859375,5
2,97.0,"{10, 27}",0.5211892127990723,5
3,102.66666666666666,"{27, 10, 26}",7.886605978012085,5
4,106.33333333333333,"{27, 10, 26, 42}",91.36754322052002,5
5,108.66666666666669,"{1, 10, 42, 16, 27}",816.1632916927338,5
0,82.85714285714279,set(),0.0011887550354003906,6
1,92.42857142857143,{27},0.022272109985351562,6
2,99.42857142857142,"{10, 27}",0.48822593688964844,6
3,104.71428571428572,"{35, 26, 27}",8.770488977432251,6
4,108.2857142857143,"{35, 26, 27, 36}",96.76091194152832,6
5,110.71428571428572,"{1, 35, 36, 16, 27}",862.4233469963074,6
0,84.25,set(),0.0009837150573730469,7
1,95.25,{27},0.021448850631713867,7
2,102.125,"{10, 27}",0.59726881980896,7
3,107.0,"{27, 10, 26}",9.466675996780396,7
4,109.25,"{27, 9, 10, 26}",107.98461174964905,7
5,111.5,"{9, 10, 20, 26, 27}",948.7450649738312,7
0,85.33333333333326,set(),0.0016162395477294922,8
1,96.3333333333333,{27},0.022668838500976562,8
2,103.33333333333327,"{26, 27}",0.607896089553833,8
3,108.2222222222222,"{27, 10, 26}",9.688138961791992,8
4,110.11111111111111,"{27, 10, 26, 20}",115.26822900772095,8
5,112.0,"{9, 10, 20, 26, 27}",1020.8246858119965,8
0,85.6,set(),0.001477956771850586,9
1,98.69999999999997,{27},0.026866912841796875,9
2,106.0,"{1, 27}",0.6201138496398926,9
3,110.4,"{35, 26, 27}",10.550359010696411,9
4,111.5,"{27, 9, 10, 26}",123.0104329586029,9
5,112.0,"{2, 38, 9, 10, 26}",1096.212918996811,9
