K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
1,131.33333333333337,{42},119.66666666666664,{13},131.33333333333337,{42},131.33333333333337,{42},188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0974930362116997,0.6985815602836881,0.6365248226950353,1.0,0.6985815602836881,0.6985815602836881,0.04188275337219238,0.001032114028930664,3,224,48,studentportuguese (30),2
2,142.0,"{42, 44}",120.66666666666664,"{0, 13}",142.0,"{42, 44}",133.16666666666669,"{42, 7}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1767955801104975,0.7553191489361702,0.6418439716312055,1.0663329161451813,0.7553191489361702,0.7083333333333335,0.08629894256591797,0.0009288787841796875,3,224,48,studentportuguese (30),2
3,149.66666666666669,"{42, 44, 47}",130.00000000000003,"{0, 24, 13}",149.66666666666669,"{42, 44, 47}",133.5,"{1, 42, 7}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1512820512820512,0.796099290780142,0.6914893617021278,1.1210986267166043,0.796099290780142,0.7101063829787234,0.10963821411132812,0.0010607242584228516,3,224,48,studentportuguese (30),2
4,156.33333333333334,"{42, 44, 28, 47}",130.6666666666667,"{0, 24, 13, 23}",156.33333333333334,"{42, 44, 28, 47}",135.83333333333331,"{1, 42, 49, 7}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1964285714285712,0.8315602836879433,0.695035460992908,1.1509202453987732,0.8315602836879433,0.7225177304964538,0.13543105125427246,0.0010828971862792969,3,224,48,studentportuguese (30),2
5,161.00000000000003,"{24, 42, 44, 28, 47}",144.6666666666667,"{0, 23, 24, 42, 13}",161.00000000000003,"{42, 44, 47, 24, 28}",139.66666666666666,"{1, 7, 42, 49, 18}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1129032258064515,0.8563829787234044,0.7695035460992911,1.1527446300715993,0.8563829787234044,0.7429078014184397,0.2117478847503662,0.0005512237548828125,3,224,48,studentportuguese (30),2
1,138.5,{42},130.5,{47},138.5,{42},132.25,{41},202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0613026819923372,0.6856435643564357,0.6460396039603961,1.0472589792060492,0.6856435643564357,0.6547029702970297,0.04309988021850586,0.0009019374847412109,4,224,49,studentportuguese (30),3
2,153.0,"{42, 44}",136.5,"{13, 47}",153.0,"{42, 44}",133.25,"{41, 7}",202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.120879120879121,0.7574257425742574,0.6757425742574258,1.148217636022514,0.7574257425742574,0.6596534653465347,0.08656001091003418,0.0006000995635986328,4,224,49,studentportuguese (30),3
3,162.75,"{42, 44, 28}",137.5,"{0, 13, 47}",162.75,"{42, 44, 28}",134.0833333333333,"{41, 1, 7}",202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1836363636363636,0.8056930693069307,0.6806930693069307,1.2137973896830334,0.8056930693069307,0.6637788778877886,0.13903117179870605,0.0011560916900634766,4,224,49,studentportuguese (30),3
4,171.0,"{42, 44, 28, 47}",140.25,"{0, 23, 13, 47}",171.0,"{42, 44, 28, 47}",136.3333333333333,"{48, 41, 1, 7}",202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2192513368983957,0.8465346534653465,0.6943069306930693,1.2542787286063575,0.8465346534653465,0.6749174917491747,0.18226313591003418,0.0006351470947265625,4,224,49,studentportuguese (30),3
5,176.75,"{42, 12, 28, 44, 47}",141.0,"{0, 19, 23, 13, 47}",176.75,"{42, 12, 44, 47, 28}",140.08333333333331,"{1, 7, 41, 48, 18}",202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.25354609929078,0.875,0.698019801980198,1.2617489589530044,0.875,0.6934818481848184,0.2455909252166748,0.0009109973907470703,4,224,49,studentportuguese (30),3
1,149.39999999999992,{42},138.99999999999994,{44},149.39999999999992,{42},119.44999999999993,{40},211.0,"{6, 39, 41, 42, 43, 44, 13, 14, 47, 16, 24, 26, 28, 29, 30}",211,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0748201438848919,0.7080568720379143,0.658767772511848,1.250732524068648,0.7080568720379143,0.566113744075829,0.06442904472351074,0.0010297298431396484,5,224,50,studentportuguese (30),4
2,168.39999999999995,"{42, 44}",147.79999999999995,"{44, 12}",168.39999999999995,"{42, 44}",122.19999999999993,"{40, 7}",211.0,"{6, 39, 41, 42, 43, 44, 13, 14, 47, 16, 24, 26, 28, 29, 30}",211,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1393775372124493,0.7981042654028434,0.7004739336492889,1.3780687397708677,0.7981042654028434,0.5791469194312793,0.11104798316955566,0.001322031021118164,5,224,50,studentportuguese (30),4
3,178.39999999999998,"{42, 44, 28}",151.79999999999993,"{0, 44, 12}",178.39999999999998,"{42, 44, 28}",122.9999999999999,"{40, 1, 7}",211.0,"{6, 39, 41, 42, 43, 44, 13, 14, 47, 16, 24, 26, 28, 29, 30}",211,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1752305665349148,0.8454976303317534,0.7194312796208527,1.4504065040650416,0.8454976303317534,0.582938388625592,0.15417194366455078,0.0010941028594970703,5,224,50,studentportuguese (30),4
4,186.20000000000002,"{42, 44, 28, 47}",152.64999999999995,"{0, 44, 12, 36}",186.20000000000002,"{42, 44, 28, 47}",137.7499999999999,"{40, 1, 47, 7}",211.0,"{6, 39, 41, 42, 43, 44, 13, 14, 47, 16, 24, 26, 28, 29, 30}",211,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2197838191942356,0.8824644549763034,0.7234597156398102,1.3517241379310356,0.8824644549763034,0.6528436018957341,0.2123279571533203,0.0011692047119140625,5,224,50,studentportuguese (30),4
5,192.2,"{41, 42, 44, 28, 47}",157.19999999999993,"{0, 18, 19, 44, 12}",192.2,"{41, 42, 44, 47, 28}",138.64999999999986,"{1, 7, 40, 47, 17}",211.0,"{6, 39, 41, 42, 43, 44, 13, 14, 47, 16, 24, 26, 28, 29, 30}",211,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2226463104325704,0.9109004739336493,0.7450236966824642,1.3862243058059875,0.9109004739336493,0.6571090047393359,0.25752806663513184,0.0007123947143554688,5,224,50,studentportuguese (30),4
1,156.3333333333334,{42},144.66666666666669,{44},156.3333333333334,{42},121.66666666666667,{40},216.0,"{6, 41, 42, 43, 44, 12, 14, 47, 13, 16, 24, 27, 28, 29, 30}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.080645161290323,0.7237654320987658,0.6697530864197532,1.2849315068493157,0.7237654320987658,0.5632716049382717,0.059674739837646484,0.0014388561248779297,6,224,50,studentportuguese (30),5
2,178.16666666666669,"{42, 44}",157.66666666666666,"{44, 12}",178.16666666666669,"{42, 44}",124.63333333333331,"{40, 7}",216.0,"{6, 41, 42, 43, 44, 12, 14, 47, 13, 16, 24, 27, 28, 29, 30}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1300211416490489,0.8248456790123457,0.7299382716049382,1.429526611393421,0.8248456790123457,0.5770061728395061,0.12560272216796875,0.0008749961853027344,6,224,50,studentportuguese (30),5
3,188.16666666666669,"{41, 42, 44}",162.66666666666669,"{0, 44, 12}",188.16666666666669,"{41, 42, 44}",125.43333333333334,"{40, 1, 7}",216.0,"{6, 41, 42, 43, 44, 12, 14, 47, 13, 16, 24, 27, 28, 29, 30}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1567622950819672,0.871141975308642,0.7530864197530865,1.500132872707946,0.871141975308642,0.5807098765432099,0.19120383262634277,0.0027801990509033203,6,224,50,studentportuguese (30),5
4,195.3333333333334,"{41, 42, 44, 28}",164.33333333333334,"{0, 19, 44, 12}",195.3333333333334,"{41, 42, 44, 28}",143.93333333333337,"{40, 1, 47, 7}",216.0,"{6, 41, 42, 43, 44, 12, 14, 47, 13, 16, 24, 27, 28, 29, 30}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1886409736308319,0.9043209876543213,0.7608024691358025,1.3571097730430757,0.9043209876543213,0.6663580246913582,0.26917314529418945,0.0014948844909667969,6,224,50,studentportuguese (30),5
5,200.50000000000006,"{41, 42, 44, 28, 47}",168.66666666666666,"{0, 18, 19, 44, 12}",200.50000000000006,"{41, 42, 44, 47, 28}",145.03333333333333,"{1, 7, 40, 47, 17}",216.0,"{6, 41, 42, 43, 44, 12, 14, 47, 13, 16, 24, 27, 28, 29, 30}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.188735177865613,0.928240740740741,0.7808641975308641,1.3824408182027124,0.928240740740741,0.6714506172839506,0.35079026222229004,0.0014328956604003906,6,224,50,studentportuguese (30),5
