K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
5,"{5, 8, 9, 46, 31}",251.39999999999992,"{1, 7, 41, 48, 17}",99.51666666666692,"{5, 8, 9, 46, 31}",251.39999999999992,"{18, 3, 5, 8, 9}",245.39999999999984,251.39999999999992,"{5, 8, 9, 46, 31}",1.0,0.3958499071864238,1.0,0.9761336515513123,749.2142729759216,5,328,49,adult (14),4
1,{5},177.50000000000003,{41},94.36666666666662,{5},177.50000000000003,{18},101.66666666666666,177.50000000000003,{5},1.0,0.5316431924882625,1.0,0.572769953051643,0.019551992416381836,6,328,49,adult (14),5
2,"{9, 5}",231.83333333333331,"{41, 7}",94.63333333333328,"{9, 5}",231.83333333333331,"{18, 5}",184.50000000000003,231.83333333333334,"{9, 5}",0.9999999999999999,0.40819554277498177,0.9999999999999999,0.7958303378864128,0.47412896156311035,6,328,49,adult (14),5
3,"{8, 9, 5}",255.3333333333333,"{41, 1, 7}",96.56666666666668,"{8, 9, 5}",255.3333333333333,"{18, 3, 5}",190.5,255.3333333333333,"{8, 9, 5}",1.0,0.37819843342036563,1.0,0.7460835509138383,7.7359020709991455,6,328,49,adult (14),5
4,"{8, 9, 5, 46}",265.8333333333333,"{48, 41, 1, 7}",99.85000000000008,"{8, 9, 5, 46}",265.8333333333333,"{9, 18, 3, 5}",244.8333333333333,265.8333333333333,"{8, 9, 5, 46}",1.0,0.375611285266458,1.0,0.9210031347962381,94.72074818611145,6,328,49,adult (14),5
5,"{5, 8, 9, 46, 31}",273.5,"{1, 7, 41, 48, 17}",100.4500000000001,"{5, 8, 9, 46, 31}",273.5,"{18, 3, 5, 8, 9}",265.83333333333326,273.5,"{5, 8, 9, 46, 31}",1.0,0.3672760511883002,1.0,0.9719683120048748,985.2594549655914,6,328,49,adult (14),5
1,{5},189.5714285714283,{41},94.1904761904763,{5},189.5714285714283,{18},101.57142857142873,189.5714285714283,{5},1.0,0.4968600854056783,1.0,0.5357950263752842,0.03238487243652344,7,328,49,adult (14),6
2,"{9, 5}",244.8571428571427,"{41, 7}",94.40476190476204,"{9, 5}",244.8571428571427,"{18, 5}",195.99999999999972,244.8571428571427,"{9, 5}",1.0,0.3855503695060296,1.0,0.800466744457409,0.792212963104248,7,328,49,adult (14),6
3,"{8, 9, 5}",269.28571428571416,"{41, 1, 7}",96.2714285714288,"{8, 9, 5}",269.28571428571416,"{18, 3, 5}",202.14285714285683,269.28571428571416,"{8, 9, 5}",1.0,0.35750663129973576,1.0,0.750663129973474,13.513705968856812,7,328,49,adult (14),6
4,"{8, 9, 5, 46}",281.7142857142856,"{48, 41, 1, 7}",99.72380952380972,"{8, 9, 5, 46}",281.7142857142856,"{9, 18, 3, 5}",257.42857142857133,281.7142857142856,"{8, 9, 5, 46}",1.0,0.35398918187964923,1.0,0.9137931034482759,110.140056848526,7,328,49,adult (14),6
5,"{5, 8, 9, 46, 31}",287.1428571428571,"{1, 7, 41, 48, 17}",100.28571428571446,"{5, 8, 9, 46, 31}",287.1428571428571,"{18, 3, 5, 8, 9}",278.5714285714285,287.1428571428571,"{5, 8, 9, 46, 31}",1.0,0.34925373134328425,1.0,0.9701492537313431,957.0508251190186,7,328,49,adult (14),6
1,{8},208.0,{41},96.35714285714286,{8},208.0,{18},104.125,208.0,{8},1.0,0.4632554945054945,1.0,0.5006009615384616,0.02444005012512207,8,328,49,adult (14),7
2,"{8, 9}",266.375,"{41, 7}",96.58928571428574,"{8, 9}",266.375,"{18, 5}",206.875,266.375,"{8, 9}",1.0,0.3626064222028559,1.0,0.7766306898169874,0.5967297554016113,8,328,49,adult (14),7
3,"{8, 9, 5}",287.5,"{41, 1, 7}",98.66071428571426,"{8, 9, 5}",287.5,"{18, 3, 5}",213.875,287.5,"{8, 9, 5}",1.0,0.34316770186335394,1.0,0.7439130434782608,9.753347158432007,8,328,49,adult (14),7
4,"{8, 9, 5, 46}",296.5,"{48, 41, 1, 7}",102.47380952380958,"{8, 9, 5, 46}",296.5,"{9, 18, 3, 5}",273.75,296.5,"{8, 9, 5, 46}",1.0,0.3456114992371318,1.0,0.9232715008431703,117.29376888275146,8,328,49,adult (14),7
5,"{3, 5, 8, 9, 46}",301.0,"{1, 7, 41, 48, 17}",102.94404761904764,"{3, 5, 8, 9, 46}",301.0,"{18, 3, 5, 8, 9}",296.875,301.0,"{3, 5, 8, 9, 46}",1.0,0.3420068027210885,1.0,0.9862956810631229,1064.28630900383,8,328,49,adult (14),7
1,{8},226.11111111111143,{41},98.15277777777786,{8},226.11111111111143,{18},105.77777777777789,226.11111111111146,{8},0.9999999999999999,0.4340909090909088,0.9999999999999999,0.4678132678132676,0.027230024337768555,9,328,49,adult (14),8
2,"{8, 9}",281.0000000000001,"{41, 7}",98.37500000000006,"{8, 9}",281.0000000000001,"{18, 5}",216.88888888888928,281.0000000000001,"{8, 9}",1.0,0.35008896797153033,1.0,0.7718465796757623,0.7196052074432373,9,328,49,adult (14),8
3,"{8, 9, 5}",299.88888888888897,"{41, 1, 7}",100.24206349206348,"{8, 9, 5}",299.88888888888897,"{18, 3, 5}",222.4444444444448,299.88888888888897,"{8, 9, 5}",1.0,0.3342640131265547,1.0,0.741756206002224,11.269369125366211,9,328,49,adult (14),8
4,"{8, 9, 5, 31}",306.33333333333337,"{48, 41, 1, 7}",103.80357142857144,"{8, 9, 5, 31}",306.33333333333337,"{9, 18, 3, 5}",282.55555555555566,306.33333333333337,"{8, 9, 5, 31}",1.0,0.3388582309964247,1.0,0.9223793978962642,132.10359811782837,9,328,49,adult (14),8
5,"{5, 8, 9, 43, 31}",309.44444444444446,"{1, 7, 41, 48, 17}",104.21626984126983,"{5, 8, 9, 43, 31}",309.44444444444446,"{18, 3, 5, 8, 9}",304.5555555555556,309.44444444444446,"{5, 8, 9, 43, 31}",1.0,0.3367850730956655,1.0,0.984201077199282,1203.7611236572266,9,328,49,adult (14),8
1,{8},238.89999999999992,{41},97.2222222222222,{8},238.8999999999999,{18},104.79999999999998,238.8999999999999,{8},1.0000000000000002,0.4069578159155389,1.0,0.43867727082461294,0.029619932174682617,10,328,49,adult (14),9
2,"{8, 9}",289.7,"{41, 7}",97.45555555555558,"{8, 9}",289.7,"{18, 5}",226.9999999999998,289.7,"{8, 9}",1.0,0.33640164154489327,1.0,0.7835692095270963,0.7250690460205078,10,328,49,adult (14),9
3,"{8, 9, 5}",306.5,"{41, 1, 7}",99.46944444444462,"{8, 9, 5}",306.5,"{18, 3, 5}",232.7999999999998,306.5,"{8, 9, 5}",1.0,0.3245332608301619,1.0,0.7595432300163126,12.587092876434326,10,328,49,adult (14),9
4,"{8, 9, 5, 31}",312.99999999999994,"{48, 41, 1, 7}",102.98174603174613,"{8, 9, 5, 31}",312.99999999999994,"{9, 18, 3, 5}",287.00000000000006,312.99999999999994,"{8, 9, 5, 31}",1.0,0.32901516304072254,1.0,0.9169329073482432,146.64731097221375,10,328,49,adult (14),9
5,"{5, 6, 8, 9, 31}",315.49999999999994,"{1, 7, 41, 48, 17}",103.3428571428572,"{5, 6, 8, 9, 31}",315.49999999999994,"{18, 3, 5, 8, 9}",309.6,315.49999999999994,"{5, 6, 8, 9, 31}",1.0,0.3275526375367899,1.0,0.9812995245641841,1340.601346731186,10,328,49,adult (14),9
