Budget,Agents_Covered,Total_Agents,Target_15_Radius
4.0,4,206,3.9588011251583337
4.5,7,206,4.196967397400808
5.0,17,206,4.9908096571673655
5.5,38,206,5.48652038987174
6.0,58,206,5.9988167179558545
6.5,92,206,6.489507603005522
7.0,121,206,6.990663357685142
7.5,146,206,7.45936701311738
8.0,171,206,7.938078343423352
8.5,189,206,8.46552740461319
9.0,195,206,8.930419319709403
9.5,199,206,9.366411840224881
10.0,204,206,9.949946094179143
