Budget,Agents_Covered,Total_Agents,Target_1_Radius
4.0,183,328,3.9990724245321507
4.5,223,328,4.469743835294445
5.0,271,328,4.977220922161035
5.5,301,328,5.492632907932996
6.0,311,328,5.995810654280516
6.5,317,328,6.33899569607869
7.0,325,328,6.766378489629362
7.5,327,328,7.455014080744193
8.0,328,328,7.607544389566969
8.5,328,328,7.607544389566969
9.0,328,328,7.607544389566969
9.5,328,328,7.607544389566969
10.0,328,328,7.607544389566969
