Budget,Agents_Covered,Total_Agents,Target_10_Radius
4.0,2,224,3.136751002796392
4.5,5,224,4.2733882670642815
5.0,10,224,4.888553205006132
5.5,14,224,5.4907266062854
6.0,21,224,5.973877000454659
6.5,45,224,6.467561205899222
7.0,83,224,6.988455315756856
7.5,128,224,7.49629718285772
8.0,157,224,7.956901939324258
8.5,185,224,8.498281667029444
9.0,200,224,8.970868463504633
9.5,214,224,9.46035961944837
10.0,221,224,9.8944107901825
