[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
3,137.5,"{0, 13, 47}",3,121.83333333333331,"{1, 36, 4}","{0, 1, 36, 4, 13, 47}",139.83333333333331,3
4,140.25,"{0, 23, 13, 47}",2,120.83333333333333,"{36, 4}","{0, 36, 4, 23, 13, 47}",141.75,3
5,141.0,"{0, 13, 47, 19, 23}",1,119.58333333333334,{36},"{0, 19, 36, 23, 13, 47}",141.41666666666669,3
6,152.0,"{0, 41, 13, 47, 19, 23}",0,118.75,set(),"{0, 19, 23, 41, 13, 47}",152.0,3
0,118.99999999999993,set(),0,118.99999999999993,set(),set(),118.99999999999993,4
0,118.99999999999993,set(),2,120.94999999999995,"{36, 4}","{36, 4}",120.94999999999995,4
1,138.99999999999994,{44},1,119.99999999999996,{36},"{44, 36}",139.99999999999994,4
2,147.79999999999995,"{44, 12}",0,118.99999999999993,set(),"{44, 12}",147.79999999999995,4
0,118.99999999999993,set(),4,122.1999999999999,"{40, 1, 36, 4}","{40, 1, 36, 4}",122.1999999999999,4
1,138.99999999999994,{44},3,121.74999999999991,"{1, 36, 4}","{1, 44, 4, 36}",141.69999999999996,4
2,147.79999999999995,"{44, 12}",2,120.94999999999995,"{36, 4}","{4, 44, 12, 36}",149.54999999999995,4
3,151.79999999999993,"{0, 44, 12}",1,119.99999999999996,{36},"{0, 44, 12, 36}",152.64999999999995,4
4,152.59999999999994,"{0, 19, 44, 12}",0,118.99999999999993,set(),"{0, 19, 44, 12}",152.59999999999994,4
0,118.99999999999993,set(),6,122.73333333333323,"{1, 36, 4, 40, 9, 11}","{1, 36, 4, 40, 9, 11}",122.73333333333323,4
1,138.99999999999994,{44},5,122.4499999999999,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11, 44}",142.39999999999998,4
2,147.79999999999995,"{44, 12}",4,122.1999999999999,"{40, 1, 36, 4}","{1, 36, 4, 40, 44, 12}",150.59999999999994,4
3,151.79999999999993,"{0, 44, 12}",3,121.74999999999991,"{1, 36, 4}","{0, 1, 36, 4, 44, 12}",153.99999999999997,4
4,152.59999999999994,"{0, 19, 44, 12}",2,120.94999999999995,"{36, 4}","{0, 19, 36, 4, 44, 12}",154.24999999999997,4
5,157.19999999999993,"{0, 44, 12, 18, 19}",1,119.99999999999996,{36},"{0, 18, 19, 36, 44, 12}",158.04999999999995,4
