K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid
0,0.0,set(),0.0,set(),0.0,set(),0.0,set(),0.0,set(),0,"{32, 41, 16, 18, 24, 28}",0.0,0.0,0.0,0.0,0.0,0.0,0.00018405914306640625,0.00025010108947753906,4.0,224,6,0
1,0.0,set(),0.0,{32},0.0,set(),0.0,{28},0.0,set(),0,"{32, 41, 16, 18, 24, 28}",0.0,0.0,0.0,0.0,0.0,0.0,0.001695871353149414,0.00032591819763183594,4.0,224,6,0
2,0.0,set(),0.0,{32},0.0,set(),0.0,"{32, 28}",0.0,set(),0,"{32, 41, 16, 18, 24, 28}",0.0,0.0,0.0,0.0,0.0,0.0,0.0017337799072265625,0.00032210350036621094,4.0,224,6,0
3,0.0,set(),0.0,{32},0.0,set(),0.0,"{32, 41, 28}",0.0,set(),0,"{32, 41, 16, 18, 24, 28}",0.0,0.0,0.0,0.0,0.0,0.0,0.0010340213775634766,0.00021219253540039062,4.0,224,6,0
0,8.0,set(),8.0,set(),8.0,set(),8.0,set(),8.0,set(),8,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0,1.0,1.0,1.0,1.0,1.0,0.00027680397033691406,0.0005717277526855469,4.5,224,22,1
1,8.0,set(),8.0,{35},8.0,set(),8.0,{47},8.0,set(),8,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0,1.0,1.0,1.0,1.0,1.0,0.006347179412841797,0.0003268718719482422,4.5,224,22,1
2,8.0,set(),8.0,"{32, 35}",8.0,set(),8.0,"{12, 47}",8.0,set(),8,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0,1.0,1.0,1.0,1.0,1.0,0.005229949951171875,0.00018215179443359375,4.5,224,22,1
3,8.0,set(),8.0,"{32, 8, 35}",8.0,set(),8.0,"{0, 12, 47}",8.0,set(),8,"{0, 7, 8, 12, 16, 18, 23, 24, 27, 28, 30, 32, 35, 37, 38, 40, 41, 42, 44, 46, 47, 48}",1.0,1.0,1.0,1.0,1.0,1.0,0.004318952560424805,0.00019407272338867188,4.5,224,22,1
0,16.63095238095238,set(),16.63095238095238,set(),16.63095238095238,set(),16.63095238095238,set(),19.0,"{42, 3}",19,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0,0.8753132832080199,0.8753132832080199,1.0,0.8753132832080199,0.8753132832080199,0.0003371238708496094,0.0003521442413330078,5.0,224,32,2
1,18.5,{42},17.13095238095238,{46},18.5,{42},17.380952380952383,{14},19.0,"{42, 3}",19,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0799166087560808,0.9736842105263158,0.9016290726817042,1.0643835616438355,0.9736842105263158,0.9147869674185465,0.007873058319091797,0.000370025634765625,5.0,224,32,2
2,19.0,"{42, 14}",17.464285714285715,"{34, 46}",19.0,"{42, 3}",17.380952380952383,"{3, 14}",19.0,"{42, 3}",19,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0879345603271984,1.0,0.9191729323308271,1.0931506849315067,1.0,0.9147869674185465,0.011175155639648438,0.00019693374633789062,5.0,224,32,2
3,19.0,"{42, 14}",18.083333333333336,"{32, 34, 46}",19.0,"{42, 3}",18.000000000000004,"{32, 3, 14}",19.0,"{42, 3}",19,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0506912442396312,1.0,0.9517543859649124,1.0555555555555554,1.0,0.9473684210526317,0.01646280288696289,0.00020623207092285156,5.0,224,32,2
0,22.852777777777778,set(),22.852777777777778,set(),22.852777777777778,set(),22.852777777777778,set(),29.0,"{0, 42, 18, 14}",29,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.7880268199233716,0.7880268199233716,1.0,0.7880268199233716,0.7880268199233716,0.0002181529998779297,0.00020885467529296875,5.5,224,39,3
