K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid
0,17.971878558430248,set(),17.971878558430248,set(),17.971878558430248,set(),17.971878558430248,set(),69.0,"{8, 9, 43, 5}",69,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.260462008093192,0.260462008093192,1.0,0.260462008093192,0.260462008093192,0.0004730224609375,0.00038623809814453125,4.0,328,48,0
1,63.49297201336675,{9},18.550825926851303,{18},63.49297201336675,{9},18.031312560101096,{42},69.0,"{8, 9, 43, 5}",69,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",3.422649334521767,0.920188000193721,0.26885254966451166,3.521261793989487,0.920188000193721,0.26132337043624776,0.018870830535888672,0.0003991127014160156,4.0,328,48,0
2,67.42857142857143,"{8, 9}",39.744132475711424,"{18, 5}",67.42857142857143,"{8, 9}",18.031312560101096,"{42, 7}",69.0,"{8, 9, 43, 5}",69,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.6965666937070174,0.9772256728778468,0.5760019199378468,3.7395265155446555,0.9772256728778468,0.26132337043624776,0.04137110710144043,0.000408172607421875,4.0,328,48,0
3,68.28571428571428,"{8, 9, 43}",39.76231429389325,"{18, 5, 14}",68.28571428571428,"{8, 9, 43}",20.26150277740835,"{1, 42, 7}",69.0,"{8, 9, 43, 5}",69,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.7173475814560848,0.9896480331262939,0.5762654245491775,3.370219624669356,0.9896480331262939,0.2936449677885268,0.05881190299987793,0.0004119873046875,4.0,328,48,0
0,17.646053642929914,set(),17.646053642929914,set(),17.646053642929914,set(),17.646053642929914,set(),83.0,"{9, 18}",83,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.21260305593891463,0.21260305593891463,1.0,0.21260305593891463,0.21260305593891463,0.0005400180816650391,0.0005521774291992188,4.5,328,49,1
1,82.16666666666667,{9},21.30746579399723,{18},82.16666666666667,{9},17.646053642929914,{41},83.0,"{9, 18}",83,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",3.856238346740173,0.9899598393574298,0.2567164553493642,4.656376339396863,0.9899598393574298,0.21260305593891463,0.02797698974609375,0.0005829334259033203,4.5,328,49,1
2,83.0,"{9, 18}",56.49506457594697,"{18, 5}",83.0,"{9, 18}",17.646053642929914,"{41, 7}",83.0,"{9, 18}",83,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.4691548832274037,1.0,0.6806634286258672,4.703601251561131,1.0,0.21260305593891463,0.05708193778991699,0.0005810260772705078,4.5,328,49,1
3,83.0,"{9, 18}",56.64678026222147,"{18, 5, 14}",83.0,"{9, 18}",18.986605763433865,"{41, 1, 7}",83.0,"{9, 18}",83,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.4652200816319627,1.0,0.6824913284604996,4.371502786445851,1.0,0.2287542863064321,0.11983108520507812,0.001123189926147461,4.5,328,49,1
0,20.51126981975766,set(),20.51126981975766,set(),20.51126981975766,set(),20.51126981975766,set(),95.0,"{9, 43}",95,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.21590810336587013,0.21590810336587013,1.0,0.21590810336587013,0.21590810336587013,0.0016281604766845703,0.0014069080352783203,5.0,328,49,2
1,94.1,{9},30.01749674710631,{18},94.1,{9},20.57410222787594,{41},95.0,"{9, 43}",95,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",3.134838350871854,0.9905263157894736,0.31597364996954014,4.573711113017777,0.9905263157894736,0.21656949713553622,0.043753862380981445,0.0009138584136962891,5.0,328,49,2
2,95.0,"{9, 43}",79.10200987522973,"{18, 5}",95.0,"{9, 43}",20.60188000565372,"{41, 7}",95.0,"{9, 43}",95,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2009808619255908,1.0,0.832652735528734,4.611229653503923,1.0,0.21686189479635493,0.07919192314147949,0.0007889270782470703,5.0,328,49,2
3,95.0,"{9, 43}",79.97700987522973,"{18, 3, 5}",95.0,"{9, 43}",21.433375258520815,"{41, 1, 7}",95.0,"{9, 43}",95,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1878413577627782,1.0,0.8418632618445234,4.4323396970448155,1.0,0.22561447640548227,0.12072086334228516,0.000823974609375,5.0,328,49,2
0,22.651989263848467,set(),22.651989263848467,set(),22.651989263848467,set(),22.651989263848467,set(),102.0,"{40, 9, 5, 6}",102,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.22207832611616143,0.22207832611616143,1.0,0.22207832611616143,0.22207832611616143,0.0012302398681640625,0.0010077953338623047,5.5,328,49,3
1,99.70202020202021,{9},43.43030963461708,{18},99.70202020202021,{9},22.782804775209165,{41},102.0,"{40, 9, 5, 6}",102,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",2.295678318686232,0.9774707862943157,0.425787349358991,4.376196047227239,0.9774707862943157,0.2233608311295016,0.053153038024902344,0.0009877681732177734,5.5,328,49,3
2,100.61111111111111,"{9, 5}",96.75067155067157,"{18, 5}",100.61111111111111,"{9, 5}",23.30661429901869,"{41, 7}",102.0,"{40, 9, 5, 6}",102,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0399009071313547,0.9863834422657952,0.9485359955948193,4.316847990887603,0.9863834422657952,0.2284962186178303,0.10034418106079102,0.0009949207305908203,5.5,328,49,3
3,101.5,"{40, 9, 5}",96.75067155067157,"{18, 5, 14}",101.5,"{40, 9, 5}",24.200477249781876,"{41, 1, 7}",102.0,"{40, 9, 5, 6}",102,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0490883254163363,0.9950980392156863,0.9485359955948193,4.194132163278509,0.9950980392156863,0.23725958088021448,0.1547222137451172,0.0010259151458740234,5.5,328,49,3
0,23.51684944561578,set(),23.51684944561578,set(),23.51684944561578,set(),23.51684944561578,set(),105.0,"{9, 6}",105,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.22396999472015028,0.22396999472015028,1.0,0.22396999472015028,0.22396999472015028,0.0011436939239501953,0.0011250972747802734,6.0,328,49,4
