K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid
0,51.0,set(),51.0,set(),51.0,set(),51.0,set(),51.0,set(),51,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.00019502639770507812,0.00021314620971679688,1,224,46,0
1,51.0,set(),51.0,{38},51.0,set(),51.0,{44},51.0,set(),51,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.013628005981445312,0.00023603439331054688,1,224,46,0
2,51.0,set(),51.0,"{4, 38}",51.0,set(),51.0,"{44, 7}",51.0,set(),51,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.008937835693359375,0.00021600723266601562,1,224,46,0
3,51.0,set(),51.0,"{1, 4, 38}",51.0,set(),51.0,"{1, 44, 7}",51.0,set(),51,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.02455592155456543,0.00044608116149902344,1,224,46,0
0,52.5,set(),52.5,set(),52.5,set(),52.5,set(),70.0,"{32, 2, 3, 36, 38, 8, 42, 45, 13, 14, 24, 29}",70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.75,0.75,1.0,0.75,0.75,0.00022411346435546875,0.00023865699768066406,2,224,48,1
1,57.0,{42},54.5,{13},57.0,{42},57.0,{42},70.0,"{32, 2, 3, 36, 38, 8, 42, 45, 13, 14, 24, 29}",70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0458715596330275,0.8142857142857143,0.7785714285714286,1.0,0.8142857142857143,0.8142857142857143,0.012110233306884766,0.0004367828369140625,2,224,48,1
2,59.0,"{32, 42}",55.5,"{36, 13}",59.0,"{42, 13}",57.0,"{42, 7}",70.0,"{32, 2, 3, 36, 38, 8, 42, 45, 13, 14, 24, 29}",70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.063063063063063,0.8428571428571429,0.7928571428571428,1.0350877192982457,0.8428571428571429,0.8142857142857143,0.028701066970825195,0.00036716461181640625,2,224,48,1
3,61.0,"{32, 42, 45}",56.5,"{0, 24, 13}",61.0,"{42, 13, 14}",57.0,"{1, 42, 7}",70.0,"{32, 2, 3, 36, 38, 8, 42, 45, 13, 14, 24, 29}",70,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.079646017699115,0.8714285714285714,0.8071428571428572,1.0701754385964912,0.8714285714285714,0.8142857142857143,0.03614187240600586,0.0006921291351318359,2,224,48,1
0,53.33333333333333,set(),53.33333333333333,set(),53.33333333333333,set(),53.33333333333333,set(),86.0,"{41, 42, 44, 13, 14, 47, 12, 18, 24, 27, 29}",86,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.6201550387596899,0.6201550387596899,1.0,0.6201550387596899,0.6201550387596899,0.0003540515899658203,0.0002722740173339844,3,224,48,2
1,65.33333333333333,{42},58.00000000000001,{13},65.33333333333333,{42},65.33333333333333,{42},86.0,"{41, 42, 44, 13, 14, 47, 12, 18, 24, 27, 29}",86,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1264367816091951,0.7596899224806201,0.6744186046511629,1.0,0.7596899224806201,0.7596899224806201,0.019222736358642578,0.0004999637603759766,3,224,48,2
2,70.66666666666669,"{42, 47}",59.000000000000014,"{0, 13}",70.66666666666669,"{42, 47}",65.49999999999999,"{42, 7}",86.0,"{41, 42, 44, 13, 14, 47, 12, 18, 24, 27, 29}",86,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1977401129943503,0.8217054263565894,0.6860465116279072,1.0788804071246825,0.8217054263565894,0.761627906976744,0.031668901443481445,0.0003037452697753906,3,224,48,2
