K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid
0,20.0,set(),20.0,set(),20.0,set(),20.0,set(),20.0,set(),20,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.00024890899658203125,0.00020813941955566406,1,328,46,0
1,20.0,set(),20.0,{14},20.0,set(),20.0,{44},20.0,set(),20,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.008425235748291016,0.00021076202392578125,1,328,46,0
2,20.0,set(),20.0,"{1, 14}",20.0,set(),20.0,"{44, 7}",20.0,set(),20,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.009559154510498047,0.00021886825561523438,1,328,46,0
3,20.0,set(),20.0,"{1, 14, 25}",20.0,set(),20.0,"{1, 44, 7}",20.0,set(),20,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,1.0,1.0,1.0,1.0,1.0,0.008533954620361328,0.00034618377685546875,1,328,46,0
0,14.0,set(),14.0,set(),14.0,set(),14.0,set(),28.0,"{9, 6}",28,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5,0.5,1.0,0.5,0.5,0.0002148151397705078,0.0002281665802001953,2,328,49,1
1,27.5,{9},14.0,{14},27.5,{9},14.0,{41},28.0,"{9, 6}",28,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.9642857142857142,0.9821428571428571,0.5,1.9642857142857142,0.9821428571428571,0.5,0.011327981948852539,0.0002491474151611328,2,328,49,1
2,28.0,"{9, 6}",19.5,"{1, 14}",28.0,"{9, 6}",14.5,"{41, 7}",28.0,"{9, 6}",28,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.435897435897436,1.0,0.6964285714285714,1.9310344827586208,1.0,0.5178571428571429,0.02214217185974121,0.0002551078796386719,2,328,49,1
3,28.0,"{9, 6}",19.5,"{1, 14, 25}",28.0,"{9, 6}",20.0,"{41, 1, 7}",28.0,"{9, 6}",28,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.435897435897436,1.0,0.6964285714285714,1.4,1.0,0.7142857142857143,0.03328204154968262,0.00025582313537597656,2,328,49,1
0,14.333333333333341,set(),14.333333333333341,set(),14.333333333333341,set(),14.333333333333341,set(),43.0,"{6, 9, 11, 46, 18}",43,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.33333333333333354,0.33333333333333354,1.0,0.33333333333333354,0.33333333333333354,0.0002522468566894531,0.0002617835998535156,3,328,49,2
1,40.33333333333334,{9},15.000000000000007,{18},40.33333333333334,{9},14.333333333333341,{41},43.0,"{6, 9, 11, 46, 18}",43,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",2.688888888888888,0.9379844961240312,0.34883720930232576,2.8139534883720922,0.9379844961240312,0.33333333333333354,0.011533021926879883,0.0002770423889160156,3,328,49,2
2,41.00000000000001,"{9, 6}",18.833333333333332,"{1, 14}",41.00000000000001,"{9, 6}",14.500000000000007,"{41, 7}",43.0,"{6, 9, 11, 46, 18}",43,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",2.1769911504424786,0.9534883720930234,0.43798449612403095,2.8275862068965507,0.9534883720930234,0.33720930232558155,0.02398085594177246,0.0003559589385986328,3,328,49,2
3,41.66666666666667,"{46, 9, 6}",19.333333333333332,"{1, 18, 14}",41.66666666666667,"{9, 18, 6}",19.0,"{41, 1, 7}",43.0,"{6, 9, 11, 46, 18}",43,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",2.1551724137931036,0.9689922480620156,0.44961240310077516,2.192982456140351,0.9689922480620156,0.4418604651162791,0.03980064392089844,0.0002849102020263672,3,328,49,2
0,14.75,set(),14.75,set(),14.75,set(),14.75,set(),56.0,"{6, 8, 9, 46, 18}",56,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.26339285714285715,0.26339285714285715,1.0,0.26339285714285715,0.26339285714285715,0.0002689361572265625,0.0003390312194824219,4,328,49,3
1,52.25,{9},15.5,{18},52.25,{9},14.75,{41},56.0,"{6, 8, 9, 46, 18}",56,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",3.370967741935484,0.9330357142857143,0.2767857142857143,3.542372881355932,0.9330357142857143,0.26339285714285715,0.014626026153564453,0.00030994415283203125,4,328,49,3
2,53.75,"{9, 46}",17.91666666666667,"{1, 14}",53.75,"{9, 46}",14.833333333333334,"{41, 7}",56.0,"{6, 8, 9, 46, 18}",56,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",2.999999999999999,0.9598214285714286,0.3199404761904763,3.623595505617977,0.9598214285714286,0.2648809523809524,0.028680086135864258,0.00031304359436035156,4,328,49,3
3,54.5,"{9, 46, 6}",18.583333333333336,"{1, 18, 14}",54.5,"{9, 46, 6}",17.83333333333334,"{41, 1, 7}",56.0,"{6, 8, 9, 46, 18}",56,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",2.932735426008968,0.9732142857142857,0.33184523809523814,3.056074766355139,0.9732142857142857,0.31845238095238104,0.04220104217529297,0.0006871223449707031,4,328,49,3
0,15.79999999999998,set(),15.79999999999998,set(),15.79999999999998,set(),15.79999999999998,set(),73.0,"{5, 6, 8, 9, 11, 43, 46, 18}",73,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.21643835616438328,0.21643835616438328,1.0,0.21643835616438328,0.21643835616438328,0.00029087066650390625,0.00030732154846191406,5,328,49,4
1,65.00000000000001,{9},16.59999999999998,{18},65.00000000000001,{9},15.79999999999998,{41},73.0,"{5, 6, 8, 9, 11, 43, 46, 18}",73,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",3.9156626506024153,0.8904109589041098,0.22739726027397233,4.113924050632917,0.8904109589041098,0.21643835616438328,0.01516103744506836,0.00033593177795410156,5,328,49,4
2,66.60000000000002,"{9, 5}",18.799999999999976,"{18, 5}",66.60000000000002,"{9, 5}",15.84999999999998,"{41, 7}",73.0,"{5, 6, 8, 9, 11, 43, 46, 18}",73,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",3.5425531914893673,0.912328767123288,0.25753424657534213,4.201892744479502,0.912328767123288,0.2171232876712326,0.03400993347167969,0.0003771781921386719,5,328,49,4
3,68.20000000000002,"{8, 9, 5}",19.06666666666666,"{1, 18, 14}",68.20000000000002,"{8, 9, 5}",18.14999999999999,"{41, 1, 7}",73.0,"{5, 6, 8, 9, 11, 43, 46, 18}",73,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",3.5769230769230793,0.934246575342466,0.26118721461187205,3.7575757575757605,0.934246575342466,0.24863013698630126,0.04590606689453125,0.0006000995635986328,5,328,49,4
0,15.833333333333316,set(),15.833333333333316,set(),15.833333333333316,set(),15.833333333333316,set(),82.0,"{5, 6, 8, 9, 43, 46, 18, 31}",82,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.19308943089430874,0.19308943089430874,1.0,0.19308943089430874,0.19308943089430874,0.0003199577331542969,0.00046896934509277344,6,328,49,5
1,69.66666666666666,{9},16.666666666666657,{18},69.66666666666666,{9},15.833333333333316,{41},82.0,"{5, 6, 8, 9, 43, 46, 18, 31}",82,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",4.1800000000000015,0.8495934959349593,0.2032520325203251,4.400000000000004,0.8495934959349593,0.19308943089430874,0.01673603057861328,0.00035881996154785156,6,328,49,5
2,73.00000000000001,"{9, 46}",21.83333333333333,"{18, 5}",73.00000000000001,"{9, 46}",15.933333333333316,"{41, 7}",82.0,"{5, 6, 8, 9, 43, 46, 18, 31}",82,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",3.3435114503816807,0.8902439024390245,0.26626016260162594,4.581589958159002,0.8902439024390245,0.19430894308943067,0.03212904930114746,0.0008077621459960938,6,328,49,5
3,75.5,"{9, 5, 46}",21.933333333333326,"{18, 5, 14}",75.5,"{9, 5, 46}",17.666666666666643,"{41, 1, 7}",82.0,"{5, 6, 8, 9, 43, 46, 18, 31}",82,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",3.4422492401215816,0.9207317073170732,0.2674796747967479,4.273584905660383,0.9207317073170732,0.21544715447154442,0.051225900650024414,0.0004169940948486328,6,328,49,5
