K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid
2,127.99999999999994,"{8, 5}",108.9999999999999,"{18, 5}",127.99999999999994,"{8, 5}",70.83333333333334,"{41, 7}",164.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",164,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.174311926605505,0.7804878048780485,0.6646341463414628,1.8070588235294107,0.7804878048780485,0.4319105691056911,0.05116105079650879,0.0005178451538085938,3,328,49,2
3,136.33333333333334,"{8, 5, 46}",113.99999999999991,"{18, 3, 5}",136.33333333333334,"{8, 5, 46}",70.83333333333334,"{41, 1, 7}",164.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",164,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.195906432748539,0.8313008130081302,0.6951219512195117,1.924705882352941,0.8313008130081302,0.4319105691056911,0.0967869758605957,0.0006210803985595703,3,328,49,2
0,73.5,set(),73.5,set(),73.5,set(),73.5,set(),186.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",186,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3951612903225806,0.3951612903225806,1.0,0.3951612903225806,0.3951612903225806,0.0005397796630859375,0.0005528926849365234,4,328,49,3
1,121.0,{5},77.5,{18},121.0,{5},73.58333333333334,{41},186.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",186,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.5612903225806452,0.6505376344086021,0.4166666666666667,1.6443941109852773,0.6505376344086021,0.3956093189964158,0.029103755950927734,0.0005743503570556641,4,328,49,3
2,154.25,"{8, 5}",124.75,"{18, 5}",154.25,"{8, 5}",73.58333333333334,"{41, 7}",186.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",186,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2364729458917836,0.8293010752688172,0.6706989247311828,2.0962627406568513,0.8293010752688172,0.3956093189964158,0.058860063552856445,0.0005838871002197266,4,328,49,3
3,163.25,"{8, 5, 46}",129.75,"{18, 3, 5}",163.25,"{8, 5, 46}",73.75,"{41, 1, 7}",186.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",186,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.258188824662813,0.8776881720430108,0.6975806451612904,2.2135593220338983,0.8776881720430108,0.396505376344086,0.08604788780212402,0.0005970001220703125,4,328,49,3
0,76.40000000000018,set(),76.40000000000018,set(),76.40000000000018,set(),76.40000000000018,set(),194.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",194,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.39381443298969165,0.39381443298969165,1.0,0.39381443298969165,0.39381443298969165,0.0007402896881103516,0.0006530284881591797,5,328,49,4
1,137.4000000000001,{8},81.6000000000002,{18},137.4000000000001,{8},76.45000000000017,{41},194.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",194,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.6838235294117618,0.7082474226804129,0.42061855670103193,1.7972531066056217,0.7082474226804129,0.3940721649484545,0.03559470176696777,0.0006301403045654297,5,328,49,4
2,164.6,"{8, 5}",141.6000000000001,"{18, 5}",164.6,"{8, 5}",76.55000000000017,"{41, 7}",194.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",194,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1624293785310724,0.8484536082474227,0.7298969072164954,2.1502286087524447,0.8484536082474227,0.39458762886598026,0.07566714286804199,0.0006449222564697266,5,328,49,4
3,173.80000000000004,"{8, 5, 46}",147.80000000000004,"{18, 3, 5}",173.80000000000004,"{8, 5, 46}",76.80000000000017,"{41, 1, 7}",194.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",194,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.175913396481732,0.8958762886597941,0.761855670103093,2.263020833333329,0.8958762886597941,0.3958762886597947,0.09916377067565918,0.0006642341613769531,5,328,49,4
0,78.49999999999993,set(),78.49999999999993,set(),78.49999999999993,set(),78.49999999999993,set(),202.0,"{3, 5, 8, 9, 43, 46, 18, 31}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.38861386138613824,0.38861386138613824,1.0,0.38861386138613824,0.38861386138613824,0.0007648468017578125,0.0006830692291259766,6,328,49,5
1,156.50000000000006,{5},84.99999999999991,{18},156.50000000000006,{5},78.53333333333327,{41},202.0,"{3, 5, 8, 9, 43, 46, 18, 31}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.8411764705882379,0.774752475247525,0.4207920792079204,1.992784380305605,0.774752475247525,0.3887788778877885,0.0360720157623291,0.0007748603820800781,6,328,49,5
2,179.33333333333337,"{8, 5}",162.6666666666667,"{18, 5}",179.33333333333337,"{8, 5}",78.69999999999993,"{41, 7}",202.0,"{3, 5, 8, 9, 43, 46, 18, 31}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1024590163934425,0.887788778877888,0.8052805280528055,2.278695468022027,0.887788778877888,0.3896039603960393,0.06726598739624023,0.0006978511810302734,6,328,49,5
3,186.50000000000003,"{8, 5, 46}",168.6666666666667,"{18, 3, 5}",186.50000000000003,"{8, 5, 46}",78.89999999999996,"{41, 1, 7}",202.0,"{3, 5, 8, 9, 43, 46, 18, 31}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1057312252964426,0.9232673267326734,0.8349834983498352,2.363751584283905,0.9232673267326734,0.3905940594059404,0.11519622802734375,0.0008666515350341797,6,328,49,5
0,77.7142857142858,set(),77.7142857142858,set(),77.7142857142858,set(),77.7142857142858,set(),207.0,"{3, 5, 8, 11, 46, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3754313319530715,0.3754313319530715,1.0,0.3754313319530715,0.3754313319530715,0.0007081031799316406,0.0007197856903076172,7,328,49,6
1,165.42857142857142,{5},84.2857142857144,{18},165.42857142857142,{5},77.76190476190484,{41},207.0,"{3, 5, 8, 11, 46, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.9627118644067767,0.7991718426501034,0.4071773636991034,2.1273729332516815,0.7991718426501034,0.3756613756613761,0.03972315788269043,0.0009317398071289062,7,328,49,6
2,189.99999999999997,"{8, 5}",170.99999999999997,"{18, 5}",189.99999999999997,"{8, 5}",77.90476190476198,"{41, 7}",207.0,"{3, 5, 8, 11, 46, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1111111111111112,0.9178743961352656,0.826086956521739,2.438875305623469,0.9178743961352656,0.37635150678628976,0.07695198059082031,0.0007560253143310547,7,328,49,6
3,198.1428571428571,"{8, 5, 46}",177.1428571428571,"{18, 3, 5}",198.1428571428571,"{8, 5, 46}",78.19047619047626,"{41, 1, 7}",207.0,"{3, 5, 8, 11, 46, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1185483870967743,0.9572118702553484,0.8557625948930295,2.534104750304504,0.9572118702553484,0.3777317690361172,0.11392498016357422,0.0008220672607421875,7,328,49,6
0,78.0,set(),78.0,set(),78.0,set(),78.0,set(),214.0,"{3, 5, 6, 8, 11, 43, 46, 18}",214,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3644859813084112,0.3644859813084112,1.0,0.3644859813084112,0.3644859813084112,0.0007588863372802734,0.0008080005645751953,8,328,49,7
1,176.5,{8},85.0,{18},176.5,{8},78.08928571428571,{41},214.0,"{3, 5, 6, 8, 11, 43, 46, 18}",214,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",2.0764705882352943,0.8247663551401869,0.397196261682243,2.2602332494854793,0.8247663551401869,0.3649032042723631,0.04142618179321289,0.0008046627044677734,8,328,49,7
2,196.875,"{8, 5}",178.0,"{18, 5}",196.875,"{8, 5}",78.23214285714286,"{41, 7}",214.0,"{3, 5, 6, 8, 11, 43, 46, 18}",214,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1060393258426966,0.9199766355140186,0.8317757009345794,2.5165487331659437,0.9199766355140186,0.3655707610146863,0.08312702178955078,0.0008158683776855469,8,328,49,7
3,205.0,"{8, 5, 46}",184.25,"{18, 3, 5}",205.0,"{8, 5, 46}",78.6964285714286,"{41, 1, 7}",214.0,"{3, 5, 6, 8, 11, 43, 46, 18}",214,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.112618724559023,0.9579439252336449,0.860981308411215,2.604946675743135,0.9579439252336449,0.3677403204272364,0.1374189853668213,0.0008380413055419922,8,328,49,7
0,78.77777777777777,set(),78.77777777777777,set(),78.77777777777777,set(),78.77777777777777,set(),216.0,"{5, 6, 8, 9, 43, 46, 31}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3647119341563786,0.3647119341563786,1.0,0.3647119341563786,0.3647119341563786,0.0008170604705810547,0.0008311271667480469,9,328,49,8
1,187.0000000000001,{8},85.66666666666663,{18},187.0000000000001,{8},78.87499999999999,{41},216.0,"{5, 6, 8, 9, 43, 46, 31}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",2.182879377431909,0.8657407407407413,0.39660493827160476,2.3708399366085597,0.8657407407407413,0.365162037037037,0.0450739860534668,0.0008571147918701172,9,328,49,8
2,204.22222222222226,"{8, 5}",184.55555555555569,"{18, 5}",204.22222222222226,"{8, 5}",79.01388888888887,"{41, 7}",216.0,"{5, 6, 8, 9, 43, 46, 31}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1065623118603245,0.9454732510288067,0.8544238683127579,2.5846370188082273,0.9454732510288067,0.3658050411522633,0.08997917175292969,0.0016529560089111328,9,328,49,8
3,210.44444444444446,"{8, 5, 46}",189.33333333333343,"{18, 3, 5}",210.44444444444446,"{8, 5, 46}",79.44444444444441,"{41, 1, 7}",216.0,"{5, 6, 8, 9, 43, 46, 31}",216,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1115023474178398,0.9742798353909465,0.8765432098765437,2.64895104895105,0.9742798353909465,0.36779835390946486,0.13016510009765625,0.0010499954223632812,9,328,49,8
0,77.09999999999998,set(),77.09999999999998,set(),77.09999999999998,set(),77.09999999999998,set(),218.0,"{5, 6, 8, 46, 31}",218,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3536697247706421,0.3536697247706421,1.0,0.3536697247706421,0.3536697247706421,0.0008721351623535156,0.0008859634399414062,10,328,49,9
1,194.1,{8},84.1,{18},194.1,{8},77.25555555555555,{41},218.0,"{5, 6, 8, 46, 31}",218,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",2.3079667063020213,0.8903669724770642,0.3857798165137614,2.5124406730907523,0.8903669724770642,0.3543832823649337,0.04911613464355469,0.0009207725524902344,10,328,49,9
2,209.79999999999998,"{8, 5}",187.2,"{18, 5}",209.79999999999998,"{8, 5}",77.42222222222222,"{41, 7}",218.0,"{5, 6, 8, 46, 31}",218,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1207264957264957,0.9623853211009173,0.8587155963302752,2.709816303099885,0.9623853211009173,0.3551478083588175,0.09787583351135254,0.0011451244354248047,10,328,49,9
3,214.7,"{8, 5, 31}",191.39999999999998,"{18, 3, 5}",214.7,"{8, 5, 31}",78.02222222222221,"{41, 1, 7}",218.0,"{5, 6, 8, 46, 31}",218,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1217345872518287,0.9848623853211008,0.8779816513761467,2.751780119624039,0.9848623853211008,0.3579001019367991,0.14681291580200195,0.0013377666473388672,10,328,49,9
