K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid
0,49.0,set(),49.0,set(),49.0,set(),49.0,set(),49.0,set(),49,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.0003650188446044922,0.0003521442413330078,1,206,35,0
1,49.0,set(),49.0,{8},49.0,set(),49.0,{7},49.0,set(),49,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.009186029434204102,0.00034999847412109375,1,206,35,0
2,49.0,set(),49.0,"{8, 3}",49.0,set(),49.0,"{1, 7}",49.0,set(),49,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.011432886123657227,0.0003228187561035156,1,206,35,0
3,49.0,set(),49.0,"{8, 3, 15}",49.0,set(),49.0,"{1, 19, 7}",49.0,set(),49,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,1.0,1.0,1.0,1.0,1.0,0.007934093475341797,0.00037384033203125,1,206,35,0
0,50.0,set(),50.0,set(),50.0,set(),50.0,set(),66.0,"{1, 2, 35, 4, 37, 6, 3, 8, 36, 10, 11, 25}",66,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.7575757575757576,0.7575757575757576,1.0,0.7575757575757576,0.7575757575757576,0.0003638267517089844,0.00037932395935058594,2,206,38,1
1,54.0,{2},52.5,{37},54.0,{2},50.0,{7},66.0,"{1, 2, 35, 4, 37, 6, 3, 8, 36, 10, 11, 25}",66,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0285714285714285,0.8181818181818182,0.7954545454545454,1.08,0.8181818181818182,0.7575757575757576,0.008477926254272461,0.0002529621124267578,2,206,38,1
2,56.5,"{2, 37}",54.0,"{37, 6}",56.5,"{2, 37}",51.0,"{1, 7}",66.0,"{1, 2, 35, 4, 37, 6, 3, 8, 36, 10, 11, 25}",66,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0462962962962963,0.8560606060606061,0.8181818181818182,1.107843137254902,0.8560606060606061,0.7727272727272727,0.014455080032348633,0.0003237724304199219,2,206,38,1
3,58.5,"{2, 11, 37}",55.0,"{8, 3, 37}",58.5,"{2, 11, 37}",51.0,"{1, 18, 7}",66.0,"{1, 2, 35, 4, 37, 6, 3, 8, 36, 10, 11, 25}",66,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0636363636363637,0.8863636363636364,0.8333333333333334,1.1470588235294117,0.8863636363636364,0.7727272727272727,0.0286557674407959,0.0004572868347167969,2,206,38,1
0,47.33333333333332,set(),47.33333333333332,set(),47.33333333333332,set(),47.33333333333332,set(),77.0,"{0, 33, 2, 6, 7, 38, 9, 39, 21, 24, 25, 28, 31}",77,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.6147186147186146,0.6147186147186146,1.0,0.6147186147186146,0.6147186147186146,0.00043582916259765625,0.0005161762237548828,3,206,39,2
1,53.99999999999999,{2},52.66666666666666,{6},53.99999999999999,{2},47.999999999999986,{7},77.0,"{0, 33, 2, 6, 7, 38, 9, 39, 21, 24, 25, 28, 31}",77,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0253164556962027,0.7012987012987012,0.6839826839826839,1.1250000000000002,0.7012987012987012,0.6233766233766231,0.01271510124206543,0.0002658367156982422,3,206,39,2
