K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
4,297.45,"{8, 9, 43, 5}",295.79090909090905,"{9, 18, 3, 5}",297.45,"{8, 9, 43, 5}",81.58938319317654,"{48, 41, 1, 7}",299.0,"{3, 5, 8, 9, 10, 43}",299,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0056089989857702,0.9948160535117057,0.9892672544846457,3.645694922043193,0.9948160535117057,0.2728741912815269,0.5746939182281494,0.0029120445251464844,5.0,328,49,2,adult (14),"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 28, 31, 32, 33, 34, 37, 38, 40, 42, 43, 44, 45, 46, 48]",,,-1
6,299.0,"{3, 5, 8, 9, 10, 43}",297.43333333333334,"{18, 3, 5, 8, 9, 14}",299.0,"{3, 5, 8, 9, 10, 43}",83.36342142439506,"{1, 7, 41, 14, 15, 17}",299.0,"{3, 5, 8, 9, 10, 43}",299,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.005267286786955,1.0,0.9947603121516165,3.586704994722087,1.0,0.27880742951302695,0.8867850303649902,0.002847909927368164,5.0,328,49,2,adult (14),"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 28, 31, 32, 33, 34, 37, 38, 40, 42, 43, 44, 45, 46, 48]",,,-1
0,78.02051644710669,set(),78.02051644710669,set(),78.02051644710669,set(),78.02051644710669,set(),313.0,"{3, 5, 6, 40, 9}",313,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.24926682570960604,0.24926682570960604,1.0,0.24926682570960604,0.24926682570960604,0.0032889842987060547,0.0033690929412841797,5.5,328,49,3,adult (14),"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48]",,,-1
2,308.15277777777777,"{9, 5}",304.7923382173382,"{18, 5}",308.15277777777777,"{9, 5}",79.09612291764016,"{41, 7}",313.0,"{3, 5, 6, 40, 9}",313,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0110253413195818,0.9845136670216542,0.9737774383940518,3.8959277194742623,0.9845136670216542,0.25270326810747656,0.3362250328063965,0.0051000118255615234,5.5,328,49,3,adult (14),"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48]",,,-1
4,311.75,"{40, 9, 3, 5}",310.8611111111111,"{9, 18, 3, 5}",311.75,"{40, 9, 3, 5}",83.20326924553078,"{48, 41, 1, 7}",313.0,"{3, 5, 6, 40, 9}",313,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0028594406219284,0.9960063897763578,0.9931664891728789,3.746847964351419,0.9960063897763578,0.26582514135952323,0.6866459846496582,0.0034461021423339844,5.5,328,49,3,adult (14),"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48]",,,-1
6,313.0,"{3, 5, 6, 40, 9}",310.8611111111111,"{1, 18, 3, 5, 9, 14}",313.0,"{3, 5, 6, 40, 9}",85.24025125982271,"{1, 7, 41, 14, 15, 17}",313.0,"{3, 5, 6, 40, 9}",313,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.006880528996515,1.0,0.9931664891728789,3.6719741597891082,1.0,0.27233307111764443,0.9863049983978271,0.0032901763916015625,5.5,328,49,3,adult (14),"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48]",,,-1
0,79.04920389342386,set(),79.04920389342386,set(),79.04920389342386,set(),79.04920389342386,set(),320.0,"{3, 5, 6, 8, 9}",320,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.24702876216694958,0.24702876216694958,1.0,0.24702876216694958,0.24702876216694958,0.0036530494689941406,0.0035817623138427734,6.0,328,49,4,adult (14),"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49]",,,-1
2,315.8603174603175,"{9, 5}",313.2714285714286,"{18, 5}",315.8603174603175,"{9, 5}",79.89373357063647,"{41, 7}",320.0,"{3, 5, 6, 8, 9}",320,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0082640440613901,0.9870634920634922,0.9789732142857144,3.953505529705353,0.9870634920634922,0.24966791740823896,0.3830909729003906,0.003938913345336914,6.0,328,49,4,adult (14),"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49]",,,-1
4,319.16666666666663,"{9, 3, 5, 6}",318.3095238095238,"{9, 18, 3, 5}",319.16666666666663,"{9, 3, 5, 6}",83.87136486552387,"{48, 41, 1, 7}",320.0,"{3, 5, 6, 8, 9}",320,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0026927967686439,0.9973958333333333,0.9947172619047618,3.805430699481357,0.9973958333333333,0.2620980152047621,0.76361083984375,0.00463414192199707,6.0,328,49,4,adult (14),"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49]",,,-1
6,320.0,"{3, 5, 6, 8, 9}",319.14285714285717,"{18, 3, 5, 8, 9, 14}",320.0,"{3, 5, 6, 8, 9}",86.24143009375051,"{1, 7, 41, 14, 15, 17}",320.0,"{3, 5, 6, 8, 9}",320,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0026857654431511,1.0,0.9973214285714287,3.710513608739297,1.0,0.2695044690429703,1.1328530311584473,0.004231929779052734,6.0,328,49,4,adult (14),"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49]",,,-1
