K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
4,178.6666666666667,"{8, 9, 5, 46}",156.3333333333334,"{9, 18, 3, 5}",178.6666666666667,"{8, 9, 5, 46}",93.8333333333332,"{48, 41, 1, 7}",207.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1428571428571426,0.8631239935587764,0.7552334943639295,1.9040852575488487,0.8631239935587764,0.45330112721417004,0.15653514862060547,0.0012888908386230469,3,328,49,2,adult (14),"[44, 13, 20]",,,-1
6,191.66666666666674,"{5, 8, 9, 11, 46, 31}",185.33333333333337,"{18, 3, 5, 8, 9, 31}",191.66666666666674,"{5, 8, 9, 11, 46, 31}",92.33333333333321,"{1, 7, 41, 14, 15, 17}",207.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0341726618705038,0.9259259259259263,0.8953301127214173,2.0758122743682343,0.9259259259259263,0.4460547504025759,0.22758889198303223,0.0010199546813964844,3,328,49,2,adult (14),"[44, 13, 20]",,,-1
0,88.25,set(),88.25,set(),88.25,set(),88.25,set(),242.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3646694214876033,0.3646694214876033,1.0,0.3646694214876033,0.3646694214876033,0.00080108642578125,0.0008020401000976562,4,328,49,3,adult (14),"[44, 13, 20, 8]",,,-1
2,174.75,"{9, 5}",140.75,"{18, 5}",174.75,"{9, 5}",88.41666666666666,"{41, 7}",242.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.241563055062167,0.7221074380165289,0.5816115702479339,1.9764373232799248,0.7221074380165289,0.36535812672176304,0.08548974990844727,0.0008420944213867188,4,328,49,3,adult (14),"[44, 13, 20, 8]",,,-1
4,219.25,"{8, 9, 5, 46}",184.25,"{9, 18, 3, 5}",219.25,"{8, 9, 5, 46}",95.16666666666661,"{48, 41, 1, 7}",242.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1899592944369064,0.90599173553719,0.7613636363636364,2.303852889667252,0.90599173553719,0.39325068870523394,0.17909002304077148,0.0009009838104248047,4,328,49,3,adult (14),"[44, 13, 20, 8]",,,-1
6,230.75,"{3, 5, 8, 9, 46, 31}",225.25,"{18, 3, 5, 8, 9, 31}",230.75,"{3, 5, 8, 9, 46, 31}",94.58333333333329,"{1, 7, 41, 14, 15, 17}",242.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0244173140954496,0.9535123966942148,0.9307851239669421,2.4396475770925123,0.9535123966942148,0.39084022038567473,0.24916291236877441,0.0008718967437744141,4,328,49,3,adult (14),"[44, 13, 20, 8]",,,-1
0,92.20000000000034,set(),92.20000000000034,set(),92.20000000000034,set(),92.20000000000034,set(),267.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",267,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.3453183520599264,0.3453183520599264,1.0,0.3453183520599264,0.3453183520599264,0.0008690357208251953,0.0008828639984130859,5,328,49,4,adult (14),"[44, 13, 20, 8, 45]",,,-1
2,206.79999999999984,"{8, 9}",160.40000000000006,"{18, 5}",206.79999999999984,"{8, 9}",92.40000000000035,"{41, 7}",267.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",267,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2892768079800483,0.7745318352059919,0.6007490636704123,2.238095238095228,0.7745318352059919,0.3460674157303384,0.09478211402893066,0.001134634017944336,5,328,49,4,adult (14),"[44, 13, 20, 8, 45]",,,-1
4,245.1999999999999,"{8, 9, 5, 46}",217.79999999999984,"{9, 18, 3, 5}",245.1999999999999,"{8, 9, 5, 46}",98.65000000000025,"{48, 41, 1, 7}",267.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",267,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1258034894398534,0.9183520599250933,0.8157303370786511,2.485554992397357,0.9183520599250933,0.36947565543071254,0.19196009635925293,0.0009930133819580078,5,328,49,4,adult (14),"[44, 13, 20, 8, 45]",,,-1
6,256.99999999999994,"{3, 5, 8, 9, 46, 31}",251.3999999999999,"{18, 3, 5, 8, 9, 31}",256.99999999999994,"{3, 5, 8, 9, 46, 31}",98.10000000000022,"{1, 7, 41, 14, 15, 17}",267.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",267,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0222752585521084,0.9625468164794005,0.9415730337078647,2.6197757390417875,0.9625468164794005,0.36741573033707947,0.2754509449005127,0.0009551048278808594,5,328,49,4,adult (14),"[44, 13, 20, 8, 45]",,,-1
