K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
4,156.33333333333334,"{42, 44, 28, 47}",130.6666666666667,"{0, 24, 13, 23}",156.33333333333334,"{42, 44, 28, 47}",135.83333333333331,"{1, 42, 49, 7}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1964285714285712,0.8315602836879433,0.695035460992908,1.1509202453987732,0.8315602836879433,0.7225177304964538,0.15950226783752441,0.0010232925415039062,3,224,48,2,studentportuguese (30),,"[29, 40, 45]",,1
6,165.00000000000003,"{24, 42, 44, 28, 14, 47}",148.33333333333337,"{0, 23, 24, 42, 12, 13}",165.00000000000003,"{42, 44, 14, 47, 24, 28}",138.83333333333334,"{1, 7, 42, 15, 16, 18}",188.0,"{6, 39, 41, 42, 43, 44, 12, 14, 47, 13, 18, 24, 26, 27, 28, 29, 30}",188,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1123595505617976,0.8776595744680853,0.7890070921985818,1.1884753901560625,0.8776595744680853,0.7384751773049646,0.20264601707458496,0.0009360313415527344,3,224,48,2,studentportuguese (30),,"[29, 40, 45]",,1
0,118.75,set(),118.75,set(),118.75,set(),118.75,set(),202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5878712871287128,0.5878712871287128,1.0,0.5878712871287128,0.5878712871287128,0.0005567073822021484,0.000576019287109375,4,224,49,3,studentportuguese (30),,"[29, 40, 45, 8]",,1
2,153.0,"{42, 44}",136.5,"{13, 47}",153.0,"{42, 44}",133.25,"{41, 7}",202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.120879120879121,0.7574257425742574,0.6757425742574258,1.148217636022514,0.7574257425742574,0.6596534653465347,0.06854391098022461,0.0009112358093261719,4,224,49,3,studentportuguese (30),,"[29, 40, 45, 8]",,1
4,171.0,"{42, 44, 28, 47}",140.25,"{0, 23, 13, 47}",171.0,"{42, 44, 28, 47}",136.3333333333333,"{48, 41, 1, 7}",202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2192513368983957,0.8465346534653465,0.6943069306930693,1.2542787286063575,0.8465346534653465,0.6749174917491747,0.16260480880737305,0.0007650852203369141,4,224,49,3,studentportuguese (30),,"[29, 40, 45, 8]",,1
6,181.5,"{41, 42, 12, 28, 44, 47}",152.0,"{0, 19, 23, 41, 13, 47}",181.5,"{41, 42, 12, 44, 47, 28}",140.66666666666666,"{1, 7, 41, 15, 16, 18}",202.0,"{6, 39, 41, 42, 43, 12, 44, 14, 47, 16, 13, 18, 24, 26, 28, 29}",202,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.194078947368421,0.8985148514851485,0.7524752475247525,1.2902843601895735,0.8985148514851485,0.6963696369636964,0.17871427536010742,0.0006761550903320312,4,224,49,3,studentportuguese (30),,"[29, 40, 45, 8]",,1
0,118.99999999999993,set(),118.99999999999993,set(),118.99999999999993,set(),118.99999999999993,set(),211.0,"{6, 39, 41, 42, 43, 44, 13, 14, 47, 16, 24, 26, 28, 29, 30}",211,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.5639810426540282,0.5639810426540282,1.0,0.5639810426540282,0.5639810426540282,0.0007228851318359375,0.0008559226989746094,5,224,50,4,studentportuguese (30),,"[29, 40, 45, 8, 48]",,1
2,168.39999999999995,"{42, 44}",147.79999999999995,"{44, 12}",168.39999999999995,"{42, 44}",122.19999999999993,"{40, 7}",211.0,"{6, 39, 41, 42, 43, 44, 13, 14, 47, 16, 24, 26, 28, 29, 30}",211,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1393775372124493,0.7981042654028434,0.7004739336492889,1.3780687397708677,0.7981042654028434,0.5791469194312793,0.0832219123840332,0.0008330345153808594,5,224,50,4,studentportuguese (30),,"[29, 40, 45, 8, 48]",,1
4,186.20000000000002,"{42, 44, 28, 47}",152.64999999999995,"{0, 44, 12, 36}",186.20000000000002,"{42, 44, 28, 47}",137.7499999999999,"{40, 1, 47, 7}",211.0,"{6, 39, 41, 42, 43, 44, 13, 14, 47, 16, 24, 26, 28, 29, 30}",211,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2197838191942356,0.8824644549763034,0.7234597156398102,1.3517241379310356,0.8824644549763034,0.6528436018957341,0.18979096412658691,0.0007159709930419922,5,224,50,4,studentportuguese (30),,"[29, 40, 45, 8, 48]",,1
6,195.59999999999997,"{41, 42, 44, 28, 14, 47}",165.59999999999997,"{0, 18, 19, 41, 44, 12}",195.59999999999997,"{41, 42, 44, 14, 47, 28}",132.09999999999988,"{1, 7, 40, 14, 15, 17}",211.0,"{6, 39, 41, 42, 43, 44, 13, 14, 47, 16, 24, 26, 28, 29, 30}",211,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1811594202898552,0.9270142180094785,0.7848341232227487,1.4806964420893274,0.9270142180094785,0.6260663507108999,0.24332380294799805,0.000701904296875,5,224,50,4,studentportuguese (30),,"[29, 40, 45, 8, 48]",,1
