[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,75.87098595848592,set(),6,101.0770646020646,"{3, 35, 37, 10, 11, 17}","{17, 3, 35, 37, 10, 11}",101.0770646020646,4
1,98.16825396825398,{38},5,98.72799422799423,"{3, 35, 10, 11, 17}","{17, 3, 35, 38, 10, 11}",108.20000000000002,4
2,106.6702380952381,"{2, 38}",4,96.04112554112554,"{11, 17, 10, 3}","{17, 2, 3, 38, 10, 11}",111.77380952380953,4
3,109.76190476190477,"{2, 38, 6}",3,91.8336940836941,"{17, 10, 3}","{17, 2, 3, 38, 6, 10}",112.95714285714286,4
4,112.5,"{25, 2, 38, 6}",2,87.34267538017538,"{10, 3}","{2, 3, 38, 6, 25, 10}",113.90714285714286,4
5,115.16666666666666,"{2, 38, 39, 6, 25}",1,81.26767676767676,{10},"{2, 38, 39, 6, 25, 10}",115.26666666666667,4
6,116.5,"{33, 2, 38, 39, 6, 25}",0,75.87098595848592,set(),"{33, 2, 38, 39, 6, 25}",116.5,4
0,86.85692094283428,set(),0,86.85692094283428,set(),set(),86.85692094283428,5
0,86.85692094283428,set(),2,100.80567599754903,"{10, 3}","{10, 3}",100.80567599754903,5
1,125.04367299367298,{38},1,93.98744150231396,{3},"{3, 38}",127.97601010101009,5
2,135.79871794871795,"{2, 38}",0,86.85692094283428,set(),"{2, 38}",135.79871794871795,5
0,86.85692094283428,set(),4,111.59051340816045,"{11, 17, 10, 3}","{11, 17, 10, 3}",111.59051340816045,5
1,125.04367299367298,{38},3,106.04563184923087,"{17, 10, 3}","{17, 10, 3, 38}",132.8874625374625,5
2,135.79871794871795,"{2, 38}",2,100.80567599754903,"{10, 3}","{3, 2, 10, 38}",137.50173160173156,5
3,141.09999999999997,"{0, 2, 38}",1,93.98744150231396,{3},"{0, 2, 3, 38}",141.5333333333333,5
4,144.51666666666665,"{0, 2, 28, 38}",0,86.85692094283428,set(),"{0, 2, 28, 38}",144.51666666666665,5
0,86.85692094283428,set(),6,118.9711011211011,"{34, 3, 35, 10, 11, 17}","{17, 34, 3, 35, 10, 11}",118.9711011211011,5
1,125.04367299367298,{38},5,115.44938240723846,"{3, 35, 10, 11, 17}","{17, 3, 35, 38, 10, 11}",135.89801587301585,5
2,135.79871794871795,"{2, 38}",4,111.59051340816045,"{11, 17, 10, 3}","{17, 2, 3, 38, 10, 11}",140.19191919191917,5
3,141.09999999999997,"{0, 2, 38}",3,106.04563184923087,"{17, 10, 3}","{0, 17, 2, 3, 38, 10}",142.84999999999997,5
4,144.51666666666665,"{0, 2, 28, 38}",2,100.80567599754903,"{10, 3}","{0, 2, 3, 38, 10, 28}",144.9880952380952,5
5,147.16666666666663,"{0, 2, 38, 27, 28}",1,93.98744150231396,{3},"{0, 2, 3, 38, 27, 28}",147.16666666666663,5
6,149.0,"{0, 2, 38, 6, 27, 28}",0,86.85692094283428,set(),"{0, 2, 38, 6, 27, 28}",149.0,5
0,96.62018030290102,set(),0,96.62018030290102,set(),set(),96.62018030290102,6
0,96.62018030290102,set(),2,108.22070461563835,"{10, 3}","{10, 3}",108.22070461563835,6
1,151.4931748806749,{38},1,102.32642930671635,{3},"{3, 38}",152.54206349206356,6
2,161.99740259740264,"{2, 38}",0,96.62018030290102,set(),"{2, 38}",161.99740259740264,6
0,96.62018030290102,set(),4,118.93905764913805,"{11, 17, 10, 3}","{11, 17, 10, 3}",118.93905764913805,6
1,151.4931748806749,{38},3,113.6328770064209,"{17, 10, 3}","{17, 10, 3, 38}",156.38793706293703,6
2,161.99740259740264,"{2, 38}",2,108.22070461563835,"{10, 3}","{3, 2, 10, 38}",163.0425685425685,6
3,167.2069264069264,"{0, 2, 38}",1,102.32642930671635,{3},"{0, 2, 3, 38}",167.25238095238095,6
4,169.0857142857143,"{0, 2, 38, 6}",0,96.62018030290102,set(),"{0, 2, 38, 6}",169.0857142857143,6
0,96.62018030290102,set(),6,127.88399624541269,"{34, 3, 35, 10, 11, 17}","{17, 34, 3, 35, 10, 11}",127.88399624541269,6
1,151.4931748806749,{38},5,123.5638470021476,"{3, 35, 10, 11, 17}","{17, 3, 35, 38, 10, 11}",158.4162698412698,6
2,161.99740259740264,"{2, 38}",4,118.93905764913805,"{11, 17, 10, 3}","{17, 2, 3, 38, 10, 11}",165.27063492063488,6
3,167.2069264069264,"{0, 2, 38}",3,113.6328770064209,"{17, 10, 3}","{0, 17, 2, 3, 38, 10}",168.69166666666666,6
4,169.0857142857143,"{0, 2, 38, 6}",2,108.22070461563835,"{10, 3}","{0, 2, 3, 38, 6, 10}",169.48333333333335,6
5,170.3,"{0, 2, 38, 6, 9}",1,102.32642930671635,{3},"{0, 2, 3, 38, 6, 9}",170.3,6
6,171.38333333333335,"{0, 2, 38, 6, 9, 24}",0,96.62018030290102,set(),"{0, 2, 38, 6, 24, 9}",171.38333333333335,6
0,97.95856435731915,set(),0,97.95856435731915,set(),set(),97.95856435731915,7
0,97.95856435731915,set(),2,107.77095597885159,"{10, 3}","{10, 3}",107.77095597885159,7
1,171.6685892538833,{2},1,102.75063102679371,{10},"{2, 10}",172.62357190337374,7
2,181.20476190476188,"{2, 38}",0,97.95856435731915,set(),"{2, 38}",181.20476190476188,7
0,97.95856435731915,set(),4,118.14836920258296,"{11, 17, 10, 3}","{11, 17, 10, 3}",118.14836920258296,7
1,171.6685892538833,{2},3,112.7359047399884,"{17, 10, 3}","{3, 17, 2, 10}",174.8627678957198,7
2,181.20476190476188,"{2, 38}",2,107.77095597885159,"{10, 3}","{3, 2, 10, 38}",181.77121212121213,7
3,185.5984126984127,"{9, 2, 38}",1,102.75063102679371,{10},"{9, 2, 10, 38}",185.8,7
4,187.20555555555558,"{0, 9, 2, 38}",0,97.95856435731915,set(),"{0, 9, 2, 38}",187.20555555555558,7
0,97.95856435731915,set(),6,128.33052929363504,"{34, 3, 35, 10, 11, 17}","{17, 34, 3, 35, 10, 11}",128.33052929363504,7
1,171.6685892538833,{2},5,123.13481071803554,"{34, 3, 10, 11, 17}","{17, 2, 34, 3, 10, 11}",177.2713079661996,7
2,181.20476190476188,"{2, 38}",4,118.14836920258296,"{11, 17, 10, 3}","{17, 2, 3, 38, 10, 11}",182.60930735930737,7
