[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,106.39999999999993,set(),6,123.4666666666666,"{32, 3, 36, 8, 14, 15}","{32, 3, 36, 8, 14, 15}",123.4666666666666,4
1,125.59999999999997,{6},5,122.06666666666658,"{3, 36, 8, 14, 15}","{3, 36, 6, 8, 14, 15}",137.0333333333333,4
2,141.20000000000002,"{0, 6}",4,120.39999999999993,"{8, 3, 36, 15}","{0, 3, 36, 6, 8, 15}",148.33333333333337,4
3,146.40000000000003,"{0, 27, 6}",3,119.73333333333328,"{8, 3, 36}","{0, 3, 36, 6, 8, 27}",152.95000000000002,4
4,159.80000000000004,"{0, 27, 6, 7}",2,109.78333333333323,"{8, 36}","{0, 36, 6, 7, 8, 27}",161.21666666666664,4
5,164.4,"{0, 6, 39, 7, 27}",1,108.09999999999991,{36},"{0, 7, 36, 6, 39, 27}",165.1,4
6,176.6,"{0, 6, 39, 7, 27, 28}",0,106.39999999999993,set(),"{0, 7, 6, 39, 27, 28}",176.6,4
0,104.83333333333341,set(),0,104.83333333333341,set(),set(),104.83333333333341,5
0,104.83333333333341,set(),2,108.05000000000011,"{8, 36}","{8, 36}",108.05000000000011,5
1,127.00000000000003,{6},1,106.36666666666673,{36},"{36, 6}",128.13333333333338,5
2,144.3333333333333,"{0, 6}",0,104.83333333333341,set(),"{0, 6}",144.3333333333333,5
0,104.83333333333341,set(),4,117.66666666666661,"{8, 3, 36, 15}","{8, 3, 36, 15}",117.66666666666661,5
1,127.00000000000003,{6},3,116.84999999999995,"{8, 3, 36}","{8, 3, 36, 6}",135.50000000000003,5
2,144.3333333333333,"{0, 6}",2,108.05000000000011,"{8, 36}","{0, 8, 36, 6}",145.71666666666664,5
3,148.83333333333326,"{0, 27, 6}",1,106.36666666666673,{36},"{0, 27, 36, 6}",149.6666666666666,5
4,162.99999999999991,"{0, 27, 6, 7}",0,104.83333333333341,set(),"{0, 27, 6, 7}",162.99999999999991,5
0,104.83333333333341,set(),6,120.24999999999996,"{32, 3, 36, 8, 14, 15}","{32, 3, 36, 8, 14, 15}",120.24999999999996,5
1,127.00000000000003,{6},5,119.04999999999993,"{3, 36, 8, 14, 15}","{3, 36, 6, 8, 14, 15}",137.19999999999996,5
2,144.3333333333333,"{0, 6}",4,117.66666666666661,"{8, 3, 36, 15}","{0, 3, 36, 6, 8, 15}",150.4,5
3,148.83333333333326,"{0, 27, 6}",3,116.84999999999995,"{8, 3, 36}","{0, 3, 36, 6, 8, 27}",154.38333333333333,5
4,162.99999999999991,"{0, 27, 6, 7}",2,108.05000000000011,"{8, 36}","{0, 36, 6, 7, 8, 27}",164.21666666666664,5
5,168.16666666666663,"{0, 6, 39, 7, 27}",1,106.36666666666673,{36},"{0, 7, 36, 6, 39, 27}",168.79999999999998,5
6,180.16666666666663,"{0, 6, 39, 7, 27, 28}",0,104.83333333333341,set(),"{0, 7, 6, 39, 27, 28}",180.16666666666663,5
0,107.28571428571425,set(),0,107.28571428571425,set(),set(),107.28571428571425,6
0,107.28571428571425,set(),2,111.1714285714285,"{8, 36}","{8, 36}",111.1714285714285,6
1,137.7142857142858,{6},1,109.2380952380952,{36},"{36, 6}",139.2142857142858,6
2,155.00000000000003,"{0, 6}",0,107.28571428571425,set(),"{0, 6}",155.00000000000003,6
0,107.28571428571425,set(),4,120.38571428571424,"{8, 3, 36, 15}","{8, 3, 36, 15}",120.38571428571424,6
1,137.7142857142858,{6},3,119.65714285714282,"{8, 3, 36}","{8, 3, 36, 6}",146.0166666666667,6
2,155.00000000000003,"{0, 6}",2,111.1714285714285,"{8, 36}","{0, 8, 36, 6}",156.85714285714286,6
3,159.7142857142857,"{0, 27, 6}",1,109.2380952380952,{36},"{0, 27, 36, 6}",160.76190476190473,6
4,176.1428571428571,"{0, 27, 6, 7}",0,107.28571428571425,set(),"{0, 27, 6, 7}",176.1428571428571,6
0,107.28571428571425,set(),6,122.64285714285707,"{32, 3, 36, 8, 14, 15}","{32, 3, 36, 8, 14, 15}",122.64285714285707,6
1,137.7142857142858,{6},5,121.58571428571423,"{3, 36, 8, 14, 15}","{3, 36, 6, 8, 14, 15}",147.37857142857143,6
2,155.00000000000003,"{0, 6}",4,120.38571428571424,"{8, 3, 36, 15}","{0, 3, 36, 6, 8, 15}",160.8023809523809,6
3,159.7142857142857,"{0, 27, 6}",3,119.65714285714282,"{8, 3, 36}","{0, 3, 36, 6, 8, 27}",164.97380952380948,6
4,176.1428571428571,"{0, 27, 6, 7}",2,111.1714285714285,"{8, 36}","{0, 36, 6, 7, 8, 27}",177.51904761904763,6
5,180.28571428571428,"{0, 6, 39, 7, 27}",1,109.2380952380952,{36},"{0, 7, 36, 6, 39, 27}",180.95238095238096,6
6,194.14285714285717,"{0, 6, 39, 7, 27, 28}",0,107.28571428571425,set(),"{0, 7, 6, 39, 27, 28}",194.14285714285717,6
0,107.75,set(),0,107.75,set(),set(),107.75,7
