K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid
0,3.0,set(),3.0,set(),3.0,set(),3.0,set(),3.0,set(),3,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.00024580955505371094,0.000244140625,4.0,206,9,0
1,3.0,set(),3.0,{17},3.0,set(),3.0,{3},3.0,set(),3,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.0012700557708740234,0.00015997886657714844,4.0,206,9,0
2,3.0,set(),3.0,"{17, 36}",3.0,set(),3.0,"{0, 3}",3.0,set(),3,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.001210927963256836,0.00015115737915039062,4.0,206,9,0
3,3.0,set(),3.0,"{17, 10, 36}",3.0,set(),3.0,"{0, 9, 3}",3.0,set(),3,"{0, 3, 36, 38, 7, 9, 10, 17, 24}",1.0,1.0,1.0,1.0,1.0,1.0,0.0012979507446289062,0.000186920166015625,4.0,206,9,0
0,7.5,set(),7.5,set(),7.5,set(),7.5,set(),8.0,{0},8,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.00013017654418945312,0.00014472007751464844,4.5,206,16,1
1,8.0,{35},8.0,{35},8.0,{0},7.5,{8},8.0,{0},8,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,1.0,1.0,1.0666666666666667,1.0,0.9375,0.0020868778228759766,0.00015306472778320312,4.5,206,16,1
2,8.0,{35},8.0,"{3, 35}",8.0,{0},8.0,"{8, 0}",8.0,{0},8,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.0062830448150634766,0.0002789497375488281,4.5,206,16,1
3,8.0,{35},8.0,"{3, 10, 35}",8.0,{0},8.0,"{8, 0, 35}",8.0,{0},8,"{0, 3, 35, 36, 37, 7, 8, 9, 10, 38, 12, 39, 17, 24, 26, 28}",1.0,1.0,1.0,1.0,1.0,1.0,0.004332065582275391,0.00015616416931152344,4.5,206,16,1
0,15.433333333333332,set(),15.433333333333332,set(),15.433333333333332,set(),15.433333333333332,set(),17.0,"{0, 3}",17,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0,0.9078431372549018,0.9078431372549018,1.0,0.9078431372549018,0.9078431372549018,0.0002810955047607422,0.0003838539123535156,5.0,206,24,2
1,16.5,{0},15.833333333333332,{28},16.5,{0},15.433333333333332,{36},17.0,"{0, 3}",17,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 17, 24, 26, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39}",1.0421052631578949,0.9705882352941176,0.9313725490196078,1.0691144708423328,0.9705882352941176,0.9078431372549018,0.003320932388305664,0.00015997886657714844,5.0,206,24,2
