K,B,Sg,Sg_lbls,F(Sg),Sgb,Sgb_lbls,F(Sgb)b4B,F(Sgb),Boostedgb,usedBbudgetgb,Sbg,Sbg_lbls,F(Sbg)b4B,F(Sbg),Boostedbg,usedBbudgetbg,r,n,m,greedyTime,greedyBoostTime,boostGreedyTime,dataset,graphid
4,3,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,107.0,"[4, 19, 47]",3,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,107.0,"[4, 19, 47]",3,4.0,112,50,0.45317721366882324,0.5500938892364502,0.42270803451538086,productivity (11),0
4,2,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,106.0,"[4, 19]",2,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,106.0,"[4, 19]",2,4.0,112,50,0.3764331340789795,0.36511993408203125,0.33906102180480957,productivity (11),0
4,1,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,105.0,[4],1,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,105.0,[4],1,4.0,112,50,0.3539118766784668,0.3549466133117676,0.35171008110046387,productivity (11),0
4,0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,104.0,[],0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,104.0,[],0,4.0,112,50,0.43349504470825195,0.3530261516571045,0.3848419189453125,productivity (11),0
5,4,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,108.0,"[4, 19, 47, 73]",4,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,108.0,"[4, 19, 47, 73]",4,4.0,112,50,0.4245634078979492,0.4526379108428955,0.355180025100708,productivity (11),0
5,3,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,107.0,"[4, 19, 47]",3,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,107.0,"[4, 19, 47]",3,4.0,112,50,0.4665496349334717,0.387923002243042,0.41626596450805664,productivity (11),0
5,2,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,106.0,"[4, 19]",2,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,106.0,"[4, 19]",2,4.0,112,50,0.4506418704986572,0.3863520622253418,0.40384793281555176,productivity (11),0
5,1,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,105.0,[4],1,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,105.0,[4],1,4.0,112,50,0.42786097526550293,0.36951494216918945,0.3922078609466553,productivity (11),0
5,0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,104.0,[],0,"{16, 2, 31}","{16: 1, 2: 1, 31: 1}",104.0,104.0,[],0,4.0,112,50,0.3813619613647461,0.42833924293518066,0.35790514945983887,productivity (11),0
1,4,{6},{6: 1},103.05819599503809,{6},{6: 1},103.05819599503809,107.05819599503809,"[4, 19, 73, 74]",4,{6},{6: 1},103.05819599503809,107.05819599503809,"[4, 19, 73, 74]",4,4.5,112,50,0.10437583923339844,0.10571599006652832,0.13222813606262207,productivity (11),1
